ax,ay,az,gx,gy,gz,avm,pressure
-0.936,-0.2573,-0.2524,-0.488,3.232,-0.427,1.003,100675.05
-0.9282,-0.2559,-0.251,-0.366,3.354,-0.793,0.995,100675.34
-0.936,-0.2515,-0.2461,-0.305,2.378,0.061,1.0,100675.24
-0.9492,-0.2632,-0.2495,-1.037,1.768,-0.427,1.0161,100675.27
-0.9375,-0.2656,-0.2568,-2.012,3.476,-1.768,1.0077,100675.02
-0.9346,-0.2607,-0.2725,-3.049,3.415,-0.671,1.0078,100675.44
-0.9629,-0.2539,-0.2749,-2.561,3.293,0.0,1.0331,100675.27
-0.9531,-0.2544,-0.2568,-3.11,5.427,-0.366,1.0194,100674.63
-0.915,-0.251,-0.2461,-3.537,10.061,0.854,0.9802,100674.3
-0.8999,-0.2402,-0.2476,-2.256,11.159,1.22,0.9638,100673.95
-0.9043,-0.251,-0.2759,-2.988,6.159,-0.183,0.9782,100674.16
-0.937,-0.2637,-0.3003,-1.463,1.951,0.915,1.0187,100674.34
-0.9351,-0.2578,-0.2998,-0.061,2.012,0.488,1.0152,100674.12
-0.9155,-0.2471,-0.2891,-1.098,0.549,-0.244,0.9914,100673.45
-0.917,-0.2495,-0.2812,-0.793,-1.89,1.098,0.9911,100673.1
-0.9272,-0.2495,-0.2769,1.22,-3.049,0.366,0.9993,100673.3
-0.9316,-0.2485,-0.2793,0.244,-3.354,-0.549,1.0039,100672.85
-0.9385,-0.2559,-0.2861,-1.037,-3.659,-0.122,1.0139,100672.63
-0.9453,-0.2568,-0.2837,-1.829,-2.195,-1.22,1.0198,100672.84
-0.9277,-0.2505,-0.2783,-2.317,0.061,-1.037,1.0004,100672.73
-0.9277,-0.2417,-0.2764,-1.829,-0.183,0.0,0.9977,100673.31
-0.9302,-0.2417,-0.2749,-1.89,-0.976,-0.427,0.9996,100673.48
-0.9253,-0.25,-0.2759,-2.073,-1.402,-0.732,0.9974,100673.73
-0.9429,-0.2524,-0.2769,-0.793,-2.805,0.244,1.0146,100672.33
-0.9312,-0.2412,-0.2646,-1.037,-0.427,-0.488,0.9976,100671.57
