ax,ay,az,gx,gy,gz,avm,pressure
-0.9409,-0.0547,-0.2949,2.134,-14.268,-1.646,0.9876,100613.87
-1.019,-0.0479,-0.2817,3.293,-21.28,-1.037,1.0584,100613.93
-1.0356,-0.0674,-0.269,2.195,-8.659,-2.744,1.0721,100614.96
-0.9624,-0.0669,-0.2451,1.402,0.244,-1.768,0.9954,100615.25
-0.9834,-0.0713,-0.2212,-0.122,-2.561,-0.061,1.0105,100615.09
-0.9668,-0.0742,-0.2148,-3.171,-0.122,-0.61,0.9932,100614.98
-0.9766,-0.0645,-0.2168,-5.305,-3.78,-2.073,1.0024,100614.4
-0.9937,-0.0586,-0.2451,-5.61,-5.0,-4.939,1.0251,100615.08
-0.9702,-0.0552,-0.2764,-4.207,-2.317,-4.39,1.0103,100615.33
-0.9883,-0.061,-0.2607,-1.098,0.061,-0.488,1.0239,100615.15
-0.9912,-0.0728,-0.2549,0.122,0.0,-0.427,1.026,100615.5
-0.9741,-0.0742,-0.2402,2.744,0.854,-1.951,1.006,100616.15
-0.9893,-0.0786,-0.2236,3.598,-0.061,-2.805,1.0173,100615.02
-0.9932,-0.084,-0.2207,2.5,1.951,-3.841,1.0209,100614.79
-0.9668,-0.0767,-0.2163,0.0,1.768,-4.512,0.9937,100614.38
-0.979,-0.082,-0.2295,-2.195,1.524,-2.195,1.0089,100613.22
-0.9702,-0.0811,-0.2378,-1.829,3.598,-0.732,1.0022,100612.61
-0.9648,-0.0728,-0.2549,-0.183,2.683,0.427,1.0006,100613.12
-0.9927,-0.0679,-0.2603,1.951,1.707,1.524,1.0285,100613.0
-0.9893,-0.0771,-0.272,2.622,3.963,0.0,1.0289,100613.38
-0.9712,-0.0859,-0.2759,4.268,5.671,-0.183,1.0133,100613.2
-0.9932,-0.0859,-0.2612,4.268,6.707,0.122,1.0305,100612.95
-0.9673,-0.0889,-0.2803,2.134,7.317,-2.012,1.011,100612.89
-0.9624,-0.0869,-0.2632,3.476,4.146,-0.549,1.0015,100612.95
