ax,ay,az,gx,gy,gz,avm,pressure
0.0508,0.0786,-0.9976,9.146,-24.939,-9.146,1.0019,100333.52
0.0112,0.0972,-1.0225,2.805,-13.902,2.012,1.0271,100332.49
-0.0005,0.0674,-1.0464,4.817,1.524,7.134,1.0486,100331.38
-0.0034,0.0913,-0.9824,6.22,5.061,3.293,0.9867,100331.54
0.0112,0.0884,-0.9961,2.683,4.085,1.829,1.0001,100331.55
0.0234,0.0566,-1.0181,0.732,3.659,2.378,1.0199,100331.19
0.0234,0.0801,-0.9927,-0.061,0.244,2.561,0.9962,100331.31
0.0181,0.0688,-1.0347,0.061,1.037,4.085,1.0371,100331.65
0.0186,0.0718,-0.9971,2.988,4.024,3.963,0.9998,100332.05
0.0469,0.0752,-1.0127,1.951,0.976,2.256,1.0166,100332.23
0.0332,0.0596,-1.0024,0.61,-6.037,2.805,1.0048,100332.6
-0.0039,0.0815,-1.0103,-2.805,-10.061,2.134,1.0135,100333.23
0.0122,0.0635,-1.0317,-0.793,-5.732,-0.366,1.0338,100333.86
0.0078,0.0767,-1.0293,3.78,-4.268,1.829,1.0322,100333.83
-0.0078,0.0615,-0.9951,3.72,0.122,2.439,0.997,100333.82
0.0073,0.0684,-1.0273,0.732,4.329,1.28,1.0296,100333.81
0.0146,0.0635,-1.019,1.524,6.89,2.073,1.0211,100334.05
0.0269,0.061,-1.0049,1.89,6.89,1.646,1.0071,100334.22
0.0283,0.0664,-1.0059,1.463,3.415,1.646,1.0084,100333.96
0.0259,0.0449,-1.0039,1.037,-1.037,0.488,1.0052,100333.54
0.0132,0.0645,-1.0098,-1.22,-4.329,0.366,1.0119,100333.45
0.0195,0.0649,-1.0259,-0.305,-0.427,0.061,1.0281,100333.26
0.0259,0.0659,-1.0234,1.22,0.61,0.488,1.0259,100333.61
0.022,0.0615,-1.0176,4.756,-2.073,0.488,1.0197,100333.75
0.0205,0.0479,-1.0024,0.549,1.89,2.744,1.0038,100333.45
0.019,0.0552,-1.0093,-0.793,0.671,2.317,1.011,100332.86
0.0342,0.0503,-1.0312,0.0,-0.427,1.829,1.033,100332.53
0.0264,0.0513,-0.9912,1.951,-6.341,2.439,0.9929,100332.17
-0.021,0.0586,-1.0142,1.829,-11.159,1.463,1.0161,100332.38
0.0044,0.0317,-1.0459,4.024,-2.744,-1.22,1.0464,100332.66
0.0029,0.0527,-1.0161,1.89,2.073,-0.061,1.0175,100332.74
