ax,ay,az,gx,gy,gz,avm,pressure
-1.0317,-0.02,-0.3193,-7.561,0.488,-0.732,1.0802,100837.34
-0.9194,-0.063,-0.4331,-11.707,2.378,-5.488,1.0183,100837.32
-0.8931,-0.1006,-0.394,6.22,-5.366,4.878,0.9813,100836.92
-1.0034,-0.0679,-0.5991,31.341,-3.354,11.463,1.1706,100837.01
-0.978,-0.0469,-0.2388,82.5,-25.549,4.268,1.0078,100836.82
-0.9028,-0.0576,-0.0796,39.451,-15.854,3.902,0.9082,100837.3
-0.9536,-0.0698,-0.311,-4.207,2.073,6.646,1.0055,100837.28
-0.9731,-0.064,-0.3198,4.329,-1.951,6.037,1.0263,100836.9
-0.9438,-0.04,-0.3164,9.695,-2.439,6.463,0.9963,100836.48
-0.9189,-0.0825,-0.2256,13.476,-4.756,5.488,0.9498,100836.92
-0.9336,-0.0664,-0.2773,7.561,-10.305,3.963,0.9762,100836.4
-1.0049,-0.0703,-0.2969,7.134,-9.573,5.793,1.0502,100836.36
-0.9897,-0.0566,-0.3037,7.317,-7.622,3.659,1.0368,100836.45
-1.0532,-0.0449,-0.2402,8.78,-8.72,4.268,1.0812,100836.05
-0.9399,-0.0474,-0.2402,2.256,-6.89,2.988,0.9713,100836.08
-0.9531,-0.0376,-0.2612,0.061,-5.305,13.659,0.989,100835.75
-0.9932,-0.0278,-0.231,-1.098,-0.366,17.683,1.02,100835.99
-0.9482,-0.0122,-0.2412,-7.378,4.573,15.61,0.9785,100836.42
-1.0039,-0.0098,-0.2559,-9.573,3.659,13.78,1.036,100837.1
-1.0146,-0.0127,-0.2866,-8.232,-5.366,7.012,1.0544,100836.63
-0.9517,-0.0239,-0.2646,1.098,-18.171,5.122,0.9881,100836.39
-0.9941,-0.0146,-0.2212,2.073,-21.159,7.805,1.0186,100836.34
-0.9873,0.0024,-0.21,-2.683,-13.232,1.22,1.0094,100836.55
-0.9834,0.001,-0.207,-3.537,-3.171,-1.28,1.005,100836.47
-0.9692,-0.0386,-0.2168,-0.854,-5.976,2.073,0.9939,100835.53
-0.9624,-0.0288,-0.2173,-4.146,-14.695,1.28,0.987,100835.09
-0.9937,-0.0176,-0.188,-6.098,-16.463,0.305,1.0114,100835.75
-0.9761,-0.0049,-0.187,-11.646,-7.805,1.951,0.9938,100835.88
-0.9985,0.0259,-0.1875,-13.598,-3.902,4.39,1.0163,100836.45
-1.02,0.0386,-0.1729,-11.951,-3.232,2.927,1.0353,100836.02
-1.0449,0.0479,-0.1914,-12.5,0.671,1.402,1.0634,100836.3
-0.9849,0.0532,-0.2246,-10.0,2.256,0.793,1.0116,100836.52
-0.958,0.0498,-0.2104,-3.72,-1.951,5.427,0.9821,100836.34
-0.9756,0.0513,-0.2012,3.537,-4.024,8.415,0.9974,100836.07
-0.9805,0.0488,-0.1763,7.378,-7.134,5.427,0.9974,100836.84
-1.0215,0.0493,-0.1577,7.012,-6.22,1.159,1.0348,100837.05
-0.999,0.0518,-0.1831,4.756,3.902,-1.707,1.017,100836.71
-0.9888,0.0542,-0.2046,7.988,1.159,-0.366,1.0112,100837.68
-0.9907,0.0557,-0.1855,12.683,-4.085,0.671,1.0095,100837.33
-0.9941,0.0518,-0.1797,12.927,-4.817,1.768,1.0116,100836.44
-0.9893,0.0361,-0.1807,14.939,-8.537,2.866,1.0063,100837.23
-1.001,0.0371,-0.1436,17.805,-9.451,3.841,1.0119,100837.84
-0.9805,0.0464,-0.1523,14.329,-3.841,1.829,0.9933,100838.16
-0.9937,0.0415,-0.1538,13.415,-5.244,1.463,1.0063,100838.05
-0.9985,0.0332,-0.1606,12.927,-4.817,-0.244,1.0119,100838.33
-0.9985,0.0269,-0.1538,12.622,-2.5,-2.012,1.0107,100838.54
-0.9946,0.0264,-0.1426,11.402,-0.366,-3.171,1.0051,100837.84
-0.958,0.0176,-0.168,6.037,-0.671,1.341,0.9728,100837.13
-1.0332,0.0068,-0.1733,7.195,2.622,9.146,1.0477,100836.27
-0.9814,0.0244,-0.1685,7.195,2.927,6.22,0.9961,100837.0
-1.0137,0.0249,-0.1514,6.22,0.061,4.634,1.0252,100836.57
-0.9917,0.0195,-0.1587,3.963,-1.707,0.122,1.0045,100836.48
-1.001,0.0205,-0.1646,1.768,-1.098,-0.61,1.0146,100836.29
-1.0044,0.0186,-0.1553,-0.671,-1.22,0.061,1.0165,100836.27
-0.9858,0.02,-0.1494,-3.415,0.549,0.183,0.9973,100836.88
-1.0015,0.0166,-0.1431,-8.415,3.11,-1.037,1.0118,100836.73
-1.0054,0.0181,-0.1846,-12.622,9.817,-5.488,1.0223,100836.88
-0.9941,0.0171,-0.1816,-8.11,5.671,-4.573,1.0107,100837.11
-1.0063,0.0034,-0.1646,-5.427,-1.28,-1.159,1.0197,100836.9
-0.9912,0.0088,-0.1465,-7.073,-0.427,-1.037,1.002,100836.88
-0.9736,0.0171,-0.1655,-9.329,5.061,-0.549,0.9878,100836.37
-0.9902,0.0269,-0.1719,-6.159,1.646,0.488,1.0054,100836.6
-1.0078,0.0278,-0.1655,-3.293,-2.5,-0.366,1.0217,100835.91
-0.9985,0.0225,-0.1543,-3.049,-0.793,-1.707,1.0106,100837.0
-0.9941,0.0137,-0.1616,-4.39,2.195,-2.927,1.0073,100836.82
-0.9819,0.0137,-0.1797,-1.463,1.463,-4.207,0.9983,100836.45
-0.9854,0.021,-0.1772,1.402,-1.159,-4.451,1.0014,100836.43
-0.9971,0.02,-0.1934,3.415,-1.524,-5.366,1.0158,100837.12
-0.9951,0.0073,-0.1807,8.659,-5.488,-6.707,1.0114,100837.54
-0.9976,-0.0054,-0.1724,8.902,-2.378,-5.671,1.0124,100836.98
