ax,ay,az,gx,gy,gz,avm,pressure
-0.7998,-0.1675,-0.5693,20.488,15.0,-8.049,0.9959,100328.82
-0.8364,-0.1758,-0.4053,35.183,7.927,-4.39,0.9459,100329.2
-0.9062,-0.2021,-0.4429,5.183,-1.037,-3.72,1.0287,100329.37
-0.8984,-0.2114,-0.5649,-8.537,-7.561,-6.463,1.0822,100329.35
-0.8398,-0.2007,-0.5122,4.024,-2.317,-8.354,1.004,100328.73
-0.8511,-0.1978,-0.4917,2.805,-4.512,-4.512,1.0026,100328.65
-0.8428,-0.2124,-0.4985,1.524,-6.22,-4.817,1.002,100328.59
-0.8062,-0.2422,-0.4521,5.732,-8.11,-7.744,0.9555,100328.38
-0.8271,-0.2432,-0.3857,2.195,-11.098,-5.122,0.9445,100328.86
-0.8159,-0.2329,-0.3477,-6.89,-6.646,-6.646,0.917,100328.97
-0.7534,-0.2188,-0.3237,-12.988,-3.659,-9.268,0.8487,100328.69
-0.7114,-0.1572,-0.3018,-23.598,-13.963,-7.866,0.7886,100329.07
-0.7153,-0.0889,-0.4644,-32.866,-11.646,-10.488,0.8575,100329.36
-0.6274,-0.105,-0.5854,-20.915,-14.634,-19.146,0.8646,100328.34
-0.6938,-0.1577,-0.5698,-1.28,-19.512,-7.866,0.9116,100327.68
-0.8267,-0.2183,-0.4248,8.354,-8.354,2.439,0.9547,100327.3
-0.8394,-0.269,-0.395,-0.793,10.366,2.073,0.9659,100327.25
-0.8721,-0.3013,-0.4194,-10.793,21.707,1.707,1.0135,100327.48
-0.9082,-0.2979,-0.5728,-16.037,-3.598,-1.463,1.1143,100327.74
-1.0503,-0.2822,-0.6987,-2.195,-36.159,-7.378,1.2927,100328.08
-1.187,-0.3013,-0.625,11.159,-40.244,-13.78,1.3749,100328.42
-1.2637,-0.3237,-0.627,5.671,-15.0,-13.841,1.4473,100328.44
-1.2461,-0.3008,-0.6035,5.976,0.122,-16.768,1.4168,100328.3
-1.085,-0.3003,-0.6431,10.122,-5.549,-19.39,1.2965,100329.2
-1.0283,-0.2695,-0.3872,17.012,-4.451,0.793,1.1314,100329.32
-0.7192,-0.2549,-0.3647,8.537,-5.183,-12.439,0.8458,100329.35
-0.5508,-0.2183,-0.2861,4.268,-8.293,-5.976,0.6579,100329.4
-0.5444,-0.1636,-0.2725,-3.841,3.476,7.927,0.6304,100329.55
-0.6538,-0.1914,-0.3477,-8.293,22.866,11.402,0.7648,100330.04
-0.7651,-0.2695,-0.3379,-1.585,25.305,5.305,0.8788,100329.55
-0.8657,-0.3086,-0.3057,-3.293,7.378,2.927,0.9686,100329.78
-0.8877,-0.3086,-0.3589,-14.329,2.866,-0.366,1.006,100329.73
-0.9502,-0.3042,-0.4819,-22.683,4.939,1.829,1.108,100329.31
-1.0664,-0.2422,-0.6064,-18.171,7.744,4.939,1.2505,100329.87
-0.9688,-0.2466,-0.6035,-4.024,0.305,-2.256,1.1677,100330.65
-0.8447,-0.2964,-0.4604,8.78,11.951,-0.976,1.0067,100330.48
-0.9375,-0.2881,-0.4175,7.256,16.585,9.39,1.0659,100330.5
-0.9492,-0.2964,-0.4487,4.39,12.622,5.793,1.091,100330.38
-0.9019,-0.3018,-0.4419,6.28,2.622,1.524,1.0487,100329.69
-0.8799,-0.2739,-0.4365,5.183,-2.317,0.0,1.0197,100328.93
-0.8501,-0.27,-0.4604,1.707,-0.61,-1.28,1.0038,100328.48
-0.9229,-0.2822,-0.4478,-0.427,1.341,0.122,1.0639,100328.38
-0.9097,-0.2754,-0.4946,-2.744,9.573,-1.341,1.0714,100328.67
-0.9312,-0.2769,-0.4731,3.232,7.378,-1.341,1.0805,100328.64
-0.9502,-0.2959,-0.4175,7.378,-1.585,-1.22,1.0792,100328.51
-0.915,-0.2788,-0.4692,3.841,-7.134,-0.122,1.0655,100329.27
-0.8867,-0.2866,-0.4702,5.122,-13.78,-1.402,1.0438,100329.09
-0.8696,-0.2866,-0.4849,0.793,7.5,-0.122,1.0361,100330.25
-0.8325,-0.3125,-0.4722,0.305,0.549,-0.549,1.0068,100329.72
-0.896,-0.3008,-0.4717,-0.793,-9.939,1.524,1.0563,100330.42
-0.8516,-0.2983,-0.4526,-1.037,-3.293,-3.537,1.0095,100330.46
-0.8218,-0.2896,-0.4268,-3.049,1.28,-4.268,0.9702,100330.86
-0.8462,-0.2871,-0.4517,-5.976,-3.598,-2.378,1.0012,100331.02
-0.8545,-0.2959,-0.4507,-4.207,-8.537,-0.976,1.0104,100330.79
-0.8823,-0.2681,-0.4268,-3.598,-7.744,2.073,1.0161,100331.23
-0.9751,-0.2847,-0.4951,-5.183,-13.72,0.488,1.13,100331.18
-0.9346,-0.2764,-0.4658,-2.866,-6.768,-6.463,1.0802,100331.76
-0.8237,-0.2422,-0.4756,-4.085,-6.037,-6.098,0.9815,100330.86
-0.8291,-0.2568,-0.4341,-2.622,-3.049,1.707,0.9705,100330.55
-0.8711,-0.2686,-0.4463,-3.659,5.061,7.439,1.0149,100330.31
-0.835,-0.2827,-0.4155,-0.976,8.902,5.976,0.9746,100330.87
-0.8438,-0.314,-0.4253,-0.122,1.951,4.939,0.9957,100330.8
-0.936,-0.3135,-0.4233,0.915,-2.378,4.512,1.0741,100330.88
-0.8403,-0.2979,-0.4214,1.159,3.72,-2.317,0.9861,100330.69
-0.833,-0.3018,-0.4561,1.768,-5.549,-2.195,0.9965,100331.16
-0.9204,-0.3076,-0.4233,5.183,-6.585,0.183,1.0588,100331.03
-0.896,-0.2905,-0.4688,2.256,-1.22,-1.89,1.0521,100330.56
-0.8647,-0.29,-0.459,3.902,0.061,-2.378,1.0211,100330.07
-0.9004,-0.2788,-0.4204,4.024,1.098,0.0,1.0321,100330.69
-0.8667,-0.2603,-0.4375,0.915,2.195,-1.098,1.0051,100330.55
-0.876,-0.2749,-0.4082,-0.183,0.183,0.061,1.0048,100330.69
-0.8887,-0.2754,-0.4355,-3.902,-0.549,1.159,1.0273,100331.05
-0.8745,-0.2861,-0.4277,-3.72,-1.037,1.22,1.0147,100330.43
-0.8896,-0.2886,-0.4644,-4.329,-2.134,2.378,1.0442,100330.72
-0.9102,-0.2969,-0.4341,-1.463,-2.012,2.5,1.0512,100329.58
-0.8774,-0.2803,-0.4595,-1.22,1.829,1.402,1.0294,100330.08
-0.9121,-0.293,-0.4341,4.39,-1.89,1.524,1.0518,100329.72
-0.9702,-0.293,-0.4043,2.195,-1.159,1.463,1.0911,100329.45
-0.8916,-0.2954,-0.4663,-1.341,1.524,-1.22,1.0486,100330.22
-0.8994,-0.2769,-0.4102,4.085,-0.915,1.768,1.0266,100329.82
-0.8643,-0.251,-0.4209,1.951,-3.415,1.22,0.9935,100330.37
-0.8462,-0.2886,-0.4302,2.195,-6.951,1.159,0.9922,100329.94
-0.9048,-0.2798,-0.3901,1.707,-5.122,3.171,1.0243,100330.09
