ax,ay,az,gx,gy,gz,avm,pressure
-0.959,-0.0771,-0.3013,-21.463,6.89,11.707,1.0081,100326.59
-0.9312,-0.1055,-0.2832,-1.585,23.537,-0.732,0.979,100326.04
-0.8711,-0.1514,-0.2734,-14.207,18.78,-7.317,0.9255,100325.52
-0.8765,-0.1367,-0.3286,-17.195,27.256,-0.854,0.946,100326.35
-0.8691,-0.1235,-0.2427,-13.659,24.817,7.805,0.9108,100326.23
-1.0708,-0.0356,-0.2827,-19.573,2.012,13.659,1.1081,100326.13
-0.9883,-0.0479,-0.4307,4.878,-11.28,-58.232,1.0791,100325.59
-0.5522,-0.1465,-0.2769,15.915,-27.195,-64.39,0.6349,100325.79
-0.6426,-0.1104,-0.2354,17.927,19.939,-15.854,0.6932,100325.7
-0.959,-0.0879,-0.2803,16.28,14.573,15.305,1.003,100324.89
-1.1064,-0.1289,-0.2261,19.146,-16.402,10.793,1.1366,100325.64
-1.1548,-0.0903,-0.2153,10.122,-2.134,-0.061,1.1782,100325.71
-1.0762,-0.1182,-0.2627,-2.927,6.159,-20.0,1.1141,100325.78
-0.9717,-0.1367,-0.2764,-5.671,-4.329,-29.268,1.0194,100326.26
-0.8867,-0.188,-0.2368,-7.805,-26.585,-28.537,0.9369,100326.19
-0.8872,-0.2109,-0.1714,-14.024,-36.037,-12.866,0.9279,100325.98
-1.0518,-0.1772,-0.1924,-23.537,-12.744,6.89,1.0838,100327.09
-1.1934,-0.1489,-0.2686,-27.744,4.451,12.317,1.2322,100327.68
-1.2725,-0.1787,-0.3047,-27.256,-9.329,7.927,1.3206,100326.77
-1.2739,-0.1387,-0.3257,-24.512,-16.28,0.366,1.3222,100326.93
-1.0015,-0.1265,-0.2495,-21.768,-14.085,-18.293,1.0398,100327.19
-0.6846,-0.1753,-0.356,-21.951,-3.537,-15.854,0.7912,100327.01
-0.6968,-0.1094,-0.4185,-1.951,-2.195,14.39,0.8201,100326.62
-0.8218,-0.0645,-0.3091,19.085,-0.793,22.134,0.8803,100326.59
-0.9365,-0.1421,-0.1816,17.561,-0.854,16.28,0.9645,100326.79
-0.9346,-0.1353,-0.188,15.183,2.744,13.963,0.9628,100326.47
-0.9268,-0.1001,-0.2407,6.402,0.488,14.756,0.9627,100326.87
-0.8721,-0.0942,-0.3135,7.744,8.902,11.341,0.9315,100326.91
-0.8794,-0.0933,-0.2461,15.366,4.878,15.793,0.9179,100327.31
-1.0361,-0.0508,-0.1963,12.256,0.061,24.512,1.0558,100326.38
-1.1226,-0.0854,-0.1621,3.354,-9.573,14.451,1.1374,100327.03
-1.1279,-0.0596,-0.1768,-7.988,-2.439,1.463,1.1432,100327.16
-0.9712,-0.084,-0.3096,-17.134,19.756,-12.378,1.0228,100326.76
-0.8442,-0.1221,-0.3638,-9.085,26.89,-6.707,0.9273,100326.45
-0.9688,-0.0928,-0.2393,3.232,22.073,7.866,1.0022,100326.59
-1.0059,-0.0669,-0.1875,1.22,22.073,2.805,1.0254,100327.18
-1.0137,-0.0796,-0.2559,-10.244,7.866,-6.768,1.0485,100326.86
-1.0308,-0.063,-0.3848,-15.61,0.061,-10.61,1.102,100327.11
-1.0161,-0.0605,-0.3608,-10.061,-3.963,-11.89,1.08,100326.06
-0.958,-0.0698,-0.3237,-7.073,9.268,-12.256,1.0136,100326.38
-0.9541,-0.0884,-0.3242,-6.707,16.037,-9.695,1.0116,100326.02
-0.9526,-0.1177,-0.3877,-2.561,10.244,-5.122,1.0352,100325.87
-0.9717,-0.1021,-0.3667,12.5,-0.061,1.159,1.0436,100326.48
-0.9258,-0.105,-0.2979,20.244,-5.854,2.561,0.9782,100326.45
-0.877,-0.1118,-0.3521,16.524,-5.061,9.817,0.9516,100326.05
-0.9604,-0.0771,-0.3384,17.805,-0.305,17.622,1.0212,100325.38
-0.9644,-0.106,-0.3569,14.756,10.061,12.622,1.0337,100325.49
-0.9238,-0.1333,-0.2686,13.049,17.622,7.073,0.9713,100325.84
-0.9209,-0.1211,-0.2866,2.561,17.134,3.659,0.972,100325.85
