ax,ay,az,gx,gy,gz,avm,pressure
-0.3843,-0.1035,-0.9482,-0.671,0.793,-1.524,1.0284,100838.77
-0.3789,-0.1113,-0.9604,2.012,-3.049,-1.463,1.0385,100838.99
-0.3867,-0.1138,-0.9595,2.744,1.037,-0.976,1.0407,100837.8
-0.394,-0.106,-0.9468,3.78,2.012,-0.549,1.031,100837.28
-0.3784,-0.1069,-0.9375,2.561,2.988,-1.402,1.0166,100837.63
-0.3516,-0.0972,-0.9375,-2.012,2.439,1.402,1.006,100838.14
-0.3955,-0.0879,-0.9189,-2.5,-1.89,5.0,1.0043,100838.18
-0.3828,-0.085,-0.9155,-4.756,-3.476,5.915,0.996,100838.31
-0.416,-0.106,-0.9585,-12.378,5.915,2.622,1.0502,100839.13
-0.3306,-0.0981,-0.96,-13.415,7.683,-1.22,1.02,100838.39
-0.397,-0.0967,-0.9678,-7.378,0.549,4.39,1.0505,100838.72
-0.3735,-0.0776,-0.9473,-0.549,-5.488,3.659,1.0212,100838.37
-0.3877,-0.0771,-0.9639,0.122,-4.329,3.293,1.0418,100838.94
-0.3984,-0.0845,-0.9404,1.037,-4.512,1.829,1.0248,100839.39
-0.3857,-0.085,-0.9146,-1.402,-3.963,0.732,0.9962,100839.35
-0.3804,-0.0796,-0.9009,-6.341,-7.866,2.256,0.9811,100839.08
-0.4048,-0.0723,-0.9375,-7.744,-9.878,2.561,1.0237,100839.12
-0.4219,-0.0576,-0.9375,-7.622,-8.537,1.829,1.0297,100839.02
-0.4341,-0.0542,-0.9097,-9.268,-15.244,1.524,1.0094,100838.73
-0.4351,-0.0542,-0.9229,-8.293,-25.488,0.854,1.0217,100839.22
-0.439,-0.0518,-0.9209,-2.256,-38.598,1.585,1.0215,100839.41
-0.4692,-0.0508,-0.9268,2.927,-53.78,6.402,1.04,100839.14
-0.5215,-0.0415,-0.9214,5.0,-53.902,7.683,1.0595,100839.3
-0.5464,-0.0391,-0.8589,9.451,-55.305,6.28,1.0187,100838.84
-0.6377,-0.0557,-0.7866,4.634,-55.61,6.28,1.0142,100839.08
-0.6685,-0.0581,-0.772,3.232,-58.72,7.561,1.0228,100839.5
-0.6855,-0.0552,-0.7671,-1.28,-42.622,3.902,1.0303,100839.83
-0.7051,-0.0508,-0.7324,-3.354,-36.463,3.841,1.0179,100839.72
-0.7397,-0.0449,-0.7471,-5.122,-31.707,3.293,1.0523,100840.73
-0.7383,-0.0469,-0.7075,2.5,-39.39,1.951,1.0236,100840.52
-0.7568,-0.0376,-0.6626,3.354,-47.378,5.305,1.0066,100840.11
-0.7842,-0.0288,-0.6416,0.671,-43.78,3.232,1.0136,100840.31
-0.7983,-0.0356,-0.6191,-0.366,-43.902,0.183,1.0109,100839.94
