ax,ay,az,gx,gy,gz,avm,pressure
0.8149,-0.1406,-0.5742,-1.037,2.195,0.305,1.0068,100756.45
0.8149,-0.1377,-0.5679,-1.159,1.402,0.549,1.0028,100757.25
0.8203,-0.1353,-0.5732,-0.61,-0.183,0.305,1.0099,100757.57
0.8247,-0.1353,-0.5776,-0.183,-0.793,0.122,1.0159,100757.56
0.8184,-0.1382,-0.5679,-0.122,0.0,-0.122,1.0056,100757.2
0.8154,-0.1387,-0.5679,0.732,-1.098,0.305,1.0033,100756.45
0.8149,-0.1396,-0.5708,0.671,-1.098,0.61,1.0047,100756.74
0.8213,-0.1348,-0.5684,-0.732,-0.427,-0.244,1.0078,100756.99
0.8174,-0.1338,-0.5723,-0.854,-0.183,-0.122,1.0067,100756.41
0.8169,-0.1372,-0.5791,-0.305,0.122,0.488,1.0107,100756.23
0.8174,-0.1401,-0.5767,0.244,1.098,0.732,1.0101,100755.86
0.8145,-0.1387,-0.5718,0.854,4.024,1.341,1.0047,100756.19
0.8164,-0.1431,-0.5576,-0.244,4.39,0.976,0.999,100756.44
0.8203,-0.1401,-0.5625,-0.915,-1.829,-0.183,1.0045,100756.5
0.8223,-0.1392,-0.5679,-0.793,-3.293,-0.671,1.0089,100756.29
0.8296,-0.1318,-0.584,-0.061,-5.122,-0.732,1.0231,100755.05
0.8193,-0.1387,-0.5781,-0.183,-2.439,-0.549,1.0123,100755.45
0.8179,-0.1392,-0.5801,0.549,0.122,0.244,1.0123,100755.38
0.8174,-0.1416,-0.582,1.341,-2.073,0.793,1.0134,100755.59
0.8213,-0.1406,-0.5874,-0.305,-3.963,0.549,1.0195,100756.48
0.8154,-0.1357,-0.5923,-1.402,-2.378,-0.671,1.0169,100756.17
0.8179,-0.1299,-0.5996,-3.841,-0.854,-0.854,1.0224,100755.68
0.8237,-0.1255,-0.605,-7.683,2.866,-1.585,1.0297,100755.55
0.8306,-0.1216,-0.5938,-11.159,8.537,-2.5,1.0282,100755.22
0.894,-0.1255,-0.4956,-21.22,38.72,2.561,1.0299,100755.93
0.9175,-0.0962,-0.4619,-22.561,16.341,-0.671,1.0317,100755.88
0.8447,-0.1089,-0.5586,-17.134,-22.866,-3.049,1.0186,100755.82
0.8521,-0.0889,-0.6016,-20.366,-22.683,-4.207,1.0468,100755.67
0.8442,-0.0874,-0.5854,-23.11,2.988,-2.561,1.0311,100756.18
0.8467,-0.0952,-0.5562,-19.207,23.72,2.195,1.0175,100755.31
0.8706,-0.082,-0.5024,-2.805,32.256,1.22,1.0085,100755.77
0.8843,-0.0806,-0.5435,8.902,25.854,1.951,1.041,100755.74
0.894,-0.0938,-0.4946,6.768,57.5,-3.415,1.026,100755.64
0.9023,-0.0649,-0.3838,5.61,57.439,-4.573,0.9827,100755.45
0.9268,-0.0908,-0.3286,10.0,31.951,-5.976,0.9875,100755.41
0.9365,-0.0454,-0.3579,13.476,17.317,-7.561,1.0036,100755.52
0.8828,-0.0825,-0.3682,2.683,13.963,-4.634,0.9601,100755.45
0.894,-0.0513,-0.3169,-5.061,24.817,-8.537,0.9499,100754.82
0.8862,-0.0474,-0.2974,-2.622,33.659,-6.22,0.936,100755.45
0.9082,-0.0459,-0.3179,2.256,28.841,-5.488,0.9633,100755.31
0.9351,-0.0229,-0.3184,6.707,24.573,-0.671,0.988,100756.05
0.9473,-0.0488,-0.313,7.744,31.402,7.622,0.9988,100755.66
0.9355,-0.0708,-0.3101,4.695,50.732,3.902,0.9881,100755.96
0.9326,-0.0269,-0.2349,-4.939,74.451,-3.232,0.9621,100755.91
0.9258,-0.0151,-0.1318,-0.305,50.427,-0.976,0.9352,100756.15
0.9307,-0.0127,-0.1016,10.305,15.122,2.256,0.9363,100756.3
0.9326,-0.0005,-0.125,8.902,23.232,4.085,0.941,100756.31
0.9648,-0.0337,-0.1294,2.378,11.159,4.817,0.9741,100755.79
0.9873,-0.0479,-0.1318,6.463,13.049,3.659,0.9972,100755.78
0.9927,-0.0566,-0.1284,10.549,15.0,1.768,1.0025,100755.8
0.9961,-0.0703,-0.1152,10.183,14.939,2.561,1.0052,100755.68
1.0181,-0.0732,-0.106,9.329,13.72,1.341,1.0262,100756.2
1.0308,-0.0708,-0.1089,8.049,10.305,-2.134,1.0389,100755.84
1.0405,-0.0688,-0.1128,5.0,3.293,-4.634,1.0489,100755.09
1.0454,-0.064,-0.0967,2.5,-0.427,-6.829,1.0518,100755.39
1.0234,-0.0527,-0.0806,-0.915,2.683,-10.732,1.028,100755.7
1.0449,-0.0386,-0.0776,-8.11,21.402,-13.476,1.0485,100755.62
1.0015,-0.0474,-0.0688,-13.11,38.963,-17.195,1.0049,100755.8
0.9946,-0.0254,0.0181,-8.963,31.463,-24.695,0.9951,100755.81
0.9756,0.0146,0.0259,-3.902,30.732,-29.756,0.976,100755.21
0.9619,0.0552,0.0688,0.427,33.902,-28.659,0.966,100755.49
0.9165,0.0757,0.0947,1.463,27.378,-31.768,0.9245,100754.98
0.9336,0.0967,0.0933,1.341,20.305,-36.707,0.9432,100754.84
0.9487,0.1147,0.0967,3.598,17.866,-39.878,0.9605,100754.87
0.9507,0.123,0.1074,2.622,14.085,-43.415,0.9646,100755.52
0.9585,0.1191,0.104,-1.707,9.573,-38.415,0.9715,100756.13
1.0381,0.1401,0.1079,-1.707,20.61,-16.951,1.053,100755.64
1.1201,0.1802,0.1284,7.195,17.5,16.341,1.1418,100755.96
1.0947,0.145,0.1133,10.122,-3.78,48.659,1.1101,100756.0
0.8633,0.0249,0.1177,1.098,-18.415,61.89,0.8716,100756.27
0.917,0.0088,0.0903,2.622,-12.256,59.451,0.9215,100755.85
0.9355,-0.0273,0.0771,10.854,1.098,58.902,0.9391,100756.27
0.9478,-0.0415,0.1323,14.207,-3.72,42.317,0.9578,100756.61
1.0723,-0.0376,0.1162,4.695,12.866,15.793,1.0792,100756.85
1.0815,-0.0083,0.126,1.768,-0.854,-13.171,1.0889,100757.63
0.9868,0.0166,0.1431,1.829,-13.11,-34.39,0.9973,100756.89
0.939,-0.0068,0.0928,-1.707,-13.598,-43.659,0.9436,100756.71
0.8174,0.0024,0.0562,-7.683,-10.976,-48.476,0.8193,100757.06
0.8599,0.0591,0.0835,-6.341,-7.439,-49.817,0.8659,100756.71
0.978,0.0098,0.0449,-9.573,-0.732,-42.073,0.9791,100756.07
1.1255,0.0327,0.0615,-12.927,20.915,-34.756,1.1276,100756.09
1.2554,0.1045,0.1562,-7.683,41.524,-9.268,1.2694,100756.1
1.1558,0.0757,0.1758,1.89,41.341,23.72,1.1715,100755.38
0.9194,0.0703,0.1831,0.549,18.72,33.476,0.9401,100756.02
0.8228,0.0391,0.1362,-10.305,-15.854,22.561,0.8349,100756.42
0.8896,0.0537,0.0845,-10.427,-46.341,4.512,0.8953,100756.58
0.9629,0.0566,0.0435,6.463,-36.951,5.122,0.9655,100756.7
1.0269,0.0693,0.1362,8.659,-29.573,10.915,1.0382,100756.45
0.8857,0.0132,0.083,-8.11,-15.671,14.329,0.8897,100755.87
0.9463,0.0396,0.0518,8.293,0.854,9.268,0.9485,100755.8
1.0503,0.1401,0.0869,33.72,5.183,11.951,1.0632,100756.0
1.0557,0.1548,0.1118,20.915,4.451,15.915,1.0728,100756.29
1.0493,0.0596,0.0415,-9.878,14.268,10.61,1.0518,100754.91
0.9863,-0.0356,0.0312,-15.976,15.488,1.524,0.9875,100755.84
0.8643,-0.0459,0.0884,-4.695,19.024,-1.585,0.87,100755.68
0.8711,-0.0229,0.1245,4.329,18.963,1.402,0.8802,100755.79
0.9678,-0.0195,0.1216,6.89,18.11,5.0,0.9756,100755.99
1.0269,0.0093,0.1323,10.244,14.817,12.195,1.0354,100756.3
1.1162,0.0381,0.1685,5.854,22.622,12.378,1.1295,100756.19
1.1577,0.0381,0.124,-7.744,13.476,1.951,1.165,100756.2
1.0938,0.0186,0.1016,-15.366,5.427,-5.122,1.0986,100755.95
0.9634,-0.0068,0.0659,-15.732,-1.402,-3.72,0.9657,100755.36
0.8594,-0.0376,0.0923,-4.817,-11.951,0.732,0.8651,100755.35
0.8408,-0.064,0.1533,4.207,-2.683,4.024,0.8571,100754.46
0.9009,-0.0225,0.2046,2.866,17.866,1.098,0.9241,100754.63
0.936,-0.0073,0.2847,7.744,22.683,6.159,0.9784,100754.79
1.1113,0.0244,0.2383,10.671,21.646,5.122,1.1368,100754.91
1.1279,0.0361,0.2441,0.488,20.549,-9.146,1.1546,100755.23
0.9302,-0.0103,0.1836,-1.402,-15.244,-11.22,0.9482,100755.37
0.8564,-0.0229,0.103,1.402,-19.634,-4.024,0.8629,100755.34
0.8633,-0.02,0.1421,5.427,-12.744,-2.988,0.8751,100756.18
0.9688,-0.0264,0.1885,11.341,-12.012,-0.549,0.9873,100756.41
1.1128,0.0386,0.1943,15.793,-1.159,2.622,1.1303,100756.59
1.2432,0.0835,0.2271,5.732,12.866,5.305,1.2665,100756.11
1.146,0.0161,0.1973,-10.854,11.646,4.573,1.163,100756.01
0.9639,-0.0234,0.1558,-15.976,0.0,-1.646,0.9767,100756.05
0.7866,-0.0303,0.0874,-7.744,-17.5,-3.415,0.792,100755.34
0.6812,-0.0229,0.0879,4.085,-31.524,-1.768,0.6872,100756.03
0.7051,-0.0151,0.1421,11.098,-6.037,0.976,0.7194,100756.06
0.9648,0.0483,0.1587,14.756,8.354,0.915,0.979,100756.21
1.0962,0.0967,0.1816,18.537,-6.463,1.951,1.1153,100756.55
1.0688,0.019,0.2529,14.39,7.927,4.878,1.0985,100756.59
1.1147,0.0376,0.2324,9.024,28.963,-1.768,1.1393,100755.97
0.9829,0.042,0.1289,1.098,21.585,-7.927,0.9922,100755.91
0.896,-0.0063,0.0161,-0.488,-8.841,-6.768,0.8962,100756.22
0.8262,-0.0601,0.1191,8.537,-3.171,3.72,0.8369,100756.81
0.875,-0.0352,0.2568,13.049,0.061,-1.89,0.9126,100756.5
1.2085,0.0269,0.2856,7.012,10.366,-10.366,1.2421,100757.02
1.4238,0.0708,0.314,-4.085,28.902,-0.732,1.4598,100757.03
1.2178,0.1206,0.2334,-17.561,7.378,1.098,1.2458,100756.3
0.9512,0.0278,0.1177,-25.244,-31.89,-2.073,0.9588,100756.62
0.7573,-0.0527,0.0972,-13.78,-31.159,1.28,0.7654,100756.38
0.7383,-0.0288,0.0996,-2.012,-28.171,0.244,0.7455,100755.84
0.7773,-0.0127,0.1177,5.671,-18.354,3.293,0.7863,100756.14
0.8481,0.0352,0.2168,12.561,-1.768,6.585,0.8761,100756.64
0.9805,0.0635,0.2842,9.817,6.768,7.683,1.0228,100755.91
1.1631,0.1118,0.2402,2.134,16.463,4.39,1.1929,100755.75
1.2769,0.0737,0.1406,-9.573,8.476,-3.902,1.2867,100756.33
1.2041,0.0264,0.0317,-14.39,-13.049,-9.024,1.2048,100756.54
1.022,-0.0181,0.0459,-11.402,-20.915,-3.902,1.0232,100756.33
0.8467,-0.0273,0.0405,-7.744,-14.512,2.988,0.8481,100755.67
0.7363,-0.021,0.0713,0.183,-2.317,6.768,0.7401,100755.05
0.752,-0.0044,0.127,6.341,0.0,5.061,0.7626,100755.42
0.8306,0.0039,0.1782,10.366,2.927,3.11,0.8495,100755.74
0.9824,0.0234,0.2666,15.122,6.89,-4.024,1.0182,100755.96
1.1782,0.123,0.2017,8.232,-4.268,-17.622,1.2017,100755.64
1.1758,0.1411,0.1489,-4.878,-11.037,-14.817,1.1935,100756.98
1.1201,0.0654,0.1396,-13.659,-4.329,-6.098,1.1307,100756.27
1.1089,0.0107,0.0464,-15.061,-1.524,-2.439,1.1099,100756.36
1.0483,-0.0073,-0.0137,-7.622,-2.683,1.159,1.0485,100756.3
0.896,0.002,0.0181,3.659,-2.622,5.915,0.8962,100756.39
0.8071,0.0073,0.0874,8.415,-1.829,7.5,0.8119,100756.7
0.8145,0.0156,0.1284,8.049,0.488,7.134,0.8247,100756.33
0.8682,0.0269,0.1753,8.293,4.634,7.927,0.8861,100756.65
0.9722,0.0454,0.2144,3.78,3.598,5.0,0.9966,100756.41
1.0874,0.0464,0.1851,-4.024,3.598,1.159,1.104,100756.36
1.1304,0.0298,0.1538,-6.098,7.256,0.305,1.1412,100756.67
1.0933,0.0273,0.0981,-4.634,5.427,-0.854,1.098,100756.9
0.9712,0.0249,0.0654,-1.463,3.78,-0.549,0.9737,100757.06
0.9146,0.0171,0.0894,0.366,5.976,0.488,0.9191,100757.21
0.9336,0.002,0.1348,1.585,10.183,0.061,0.9433,100757.45
0.9492,0.0127,0.1611,0.305,5.976,-0.854,0.9629,100756.72
1.0068,0.022,0.1826,-8.354,6.829,2.317,1.0235,100756.47
1.0083,0.0264,0.1714,-7.073,7.805,1.28,1.0231,100755.88
0.9946,0.0439,0.1436,-5.122,10.976,-1.037,1.0059,100755.83
0.9951,0.0376,0.1216,-5.61,8.354,-0.244,1.0032,100755.65
0.9775,0.022,0.1719,-0.61,13.415,2.622,0.9928,100756.28
0.9521,0.0234,0.1919,2.012,16.768,1.707,0.9716,100755.74
0.9536,0.0371,0.2017,-0.427,4.207,0.793,0.9754,100756.11
0.9644,0.0254,0.2129,-0.061,1.037,2.561,0.9879,100755.49
0.9683,0.0117,0.2065,1.829,2.317,3.659,0.9901,100756.03
0.9844,0.0073,0.2026,2.622,0.854,3.415,1.005,100755.56
0.9746,0.0068,0.1924,4.024,2.134,5.366,0.9934,100755.24
0.9546,-0.0078,0.2065,4.451,12.622,9.512,0.9767,100754.98
0.9507,-0.0137,0.2017,3.78,21.402,10.183,0.9719,100755.66
0.9595,-0.002,0.2305,3.78,13.049,7.256,0.9868,100756.41
0.9409,0.0078,0.2471,0.366,3.72,3.232,0.9728,100756.0
