ax,ay,az,gx,gy,gz,avm,pressure
0.9658,-0.1157,-0.2334,0.061,-6.22,-1.524,1.0003,100754.55
0.9663,-0.1118,-0.2437,-0.488,-4.695,-2.317,1.0028,100755.1
0.9648,-0.1064,-0.2437,1.28,-3.78,-2.256,1.0008,100755.16
0.9668,-0.1055,-0.2388,1.646,-3.841,-2.439,1.0014,100755.33
0.9619,-0.1094,-0.2329,0.549,-0.976,-1.646,0.9957,100755.21
0.9653,-0.1123,-0.2314,-0.061,-0.976,-1.22,0.999,100755.34
0.9644,-0.1152,-0.231,-0.244,-0.671,-0.976,0.9983,100754.47
0.9609,-0.1138,-0.2358,-0.122,-1.159,-0.732,0.996,100754.19
0.9648,-0.1099,-0.2402,-0.732,-1.28,-1.585,1.0004,100754.11
0.9683,-0.1035,-0.2471,-2.195,-2.073,-3.232,1.0046,100754.28
0.9585,-0.1021,-0.2349,-2.927,0.061,-3.659,0.9921,100754.91
0.9463,-0.1035,-0.2251,-0.244,0.854,-0.732,0.9782,100754.4
0.9575,-0.1069,-0.2222,1.89,6.524,4.817,0.9888,100753.55
0.9761,-0.1001,-0.252,-5.976,-2.683,-0.671,1.013,100753.52
0.9653,-0.0977,-0.2578,-3.476,-10.976,-3.354,1.0039,100753.98
0.9551,-0.0967,-0.2515,0.061,-0.244,-0.793,0.9923,100754.08
0.9634,-0.0918,-0.2402,5.732,3.78,1.585,0.9971,100754.52
0.9829,-0.0947,-0.2554,6.098,-1.28,0.549,1.02,100755.34
1.0112,-0.0996,-0.2656,5.305,-6.524,-3.476,1.0503,100756.28
1.0288,-0.0879,-0.272,5.183,-12.805,-8.841,1.0678,100755.55
1.0215,-0.0938,-0.2715,2.805,-14.207,-14.451,1.0611,100755.12
1.0039,-0.0933,-0.29,1.89,-5.915,-16.829,1.0491,100755.53
0.9839,-0.0786,-0.2598,13.537,3.78,-13.72,1.0206,100755.72
0.9966,-0.0957,-0.2544,22.927,10.244,-8.232,1.033,100756.23
1.0132,-0.0713,-0.1733,31.89,65.061,-6.646,1.0304,100755.01
0.9619,-0.0698,-0.1455,25.0,54.329,-3.72,0.9754,100754.49
0.9961,-0.0552,-0.1338,23.232,26.524,-3.293,1.0066,100755.61
0.9819,-0.0601,-0.1284,22.561,19.939,-4.451,0.9921,100755.34
0.9751,-0.0444,-0.1206,19.024,-4.451,-7.744,0.9835,100755.25
0.9663,-0.0562,-0.1055,14.024,-18.72,-4.329,0.9737,100754.81
0.9624,-0.0669,-0.1172,10.366,-19.39,-0.732,0.9718,100754.87
0.9707,-0.0537,-0.1484,10.244,-17.5,-0.854,0.9835,100755.15
0.9678,-0.0542,-0.1445,9.085,-10.732,3.232,0.98,100755.48
0.9673,-0.0664,-0.126,8.293,-0.671,6.463,0.9777,100754.91
0.9634,-0.0688,-0.1445,7.561,1.463,5.305,0.9766,100754.84
0.9619,-0.0576,-0.1484,6.159,-3.232,1.524,0.975,100755.14
0.9824,-0.0557,-0.146,1.037,-10.732,-1.341,0.9948,100754.98
0.9712,-0.0669,-0.1587,-2.378,-10.488,-1.524,0.9863,100755.48
0.9639,-0.063,-0.1655,-1.22,-10.061,-3.659,0.98,100755.51
0.9565,-0.0591,-0.1597,-0.61,-9.634,-3.293,0.9716,100754.67
0.9395,-0.0576,-0.1602,-0.305,-6.646,-1.646,0.9547,100754.28
0.9619,-0.0537,-0.1616,0.732,-2.805,-1.646,0.9769,100754.86
0.9653,-0.0483,-0.189,-0.061,-5.549,-1.22,0.9848,100754.3
0.9609,-0.0488,-0.1953,-1.098,-10.549,0.0,0.9818,100754.85
0.9614,-0.0469,-0.1992,-1.524,-5.061,-0.488,0.983,100755.01
0.9707,-0.041,-0.2017,-3.11,-4.268,-2.378,0.9923,100755.04
0.9849,-0.0498,-0.2012,-5.244,-4.268,-1.463,1.0064,100755.79
0.9678,-0.0591,-0.1982,-4.085,-5.183,-2.012,0.9896,100755.66
0.9751,-0.0586,-0.209,-2.195,-7.622,-2.561,0.999,100755.38
0.9727,-0.0581,-0.2036,0.244,-3.354,-1.829,0.9954,100755.28
0.9834,-0.0444,-0.2114,1.098,-4.207,-2.195,1.0069,100755.2
0.978,-0.0459,-0.2095,0.671,-3.049,-1.22,1.0013,100755.27
0.9761,-0.0479,-0.2188,-0.244,-1.829,-0.122,1.0014,100755.07
0.981,-0.0405,-0.2183,0.732,-3.598,-0.305,1.0058,100755.28
0.9775,-0.0435,-0.2129,-0.061,-3.049,0.366,1.0014,100754.23
0.9727,-0.0469,-0.2275,-0.366,-0.549,0.915,1.0,100754.61
0.9678,-0.0474,-0.2261,3.11,-7.378,0.793,0.995,100754.31
0.9868,-0.0308,-0.2241,5.366,-11.585,0.915,1.0124,100754.3
0.9741,-0.0337,-0.23,2.561,-4.085,1.829,1.0015,100753.79
0.9556,-0.0464,-0.2295,0.549,0.183,2.317,0.9838,100754.38
0.9629,-0.0435,-0.2231,0.854,1.341,1.22,0.9894,100754.82
0.9775,-0.0435,-0.2368,0.244,5.244,1.646,1.0068,100755.03
0.9731,-0.0518,-0.2319,0.976,6.829,2.195,1.0017,100754.92
0.9678,-0.0557,-0.2188,1.951,4.817,2.012,0.9937,100754.47
0.9683,-0.0518,-0.2192,2.073,2.073,0.976,0.9941,100755.02
0.979,-0.0483,-0.2231,0.915,1.28,-0.122,1.0053,100754.8
0.9624,-0.0557,-0.2163,0.793,0.671,0.732,0.988,100753.66
0.9751,-0.0532,-0.2173,0.915,2.988,0.488,1.0004,100754.01
0.9829,-0.0518,-0.2217,0.854,4.329,0.549,1.0089,100753.42
0.9937,-0.0532,-0.2256,2.317,5.183,1.22,1.0203,100753.09
1.0117,-0.0537,-0.2329,5.183,7.073,4.085,1.0396,100753.44
0.9629,-0.0713,-0.1992,5.244,12.927,6.098,0.9859,100753.59
0.937,-0.0771,-0.1655,3.72,11.463,2.927,0.9546,100752.7
0.9678,-0.0615,-0.1685,-0.427,7.439,-1.707,0.9843,100753.24
0.9692,-0.0605,-0.1812,-4.268,4.329,-2.866,0.9879,100752.92
0.9746,-0.0615,-0.1929,-2.256,-6.951,-1.098,0.9954,100753.31
1.002,-0.0508,-0.1875,0.0,-10.671,-1.402,1.0206,100752.85
0.9878,-0.0581,-0.1982,-1.22,-2.988,-1.768,1.0092,100752.63
0.979,-0.0547,-0.2061,0.244,-6.829,-2.622,1.0019,100753.33
0.9736,-0.0483,-0.2036,0.671,-12.317,-3.78,0.9959,100753.0
0.9692,-0.041,-0.2075,-1.341,-11.585,-3.415,0.9921,100753.72
0.9727,-0.04,-0.2134,-2.866,-5.122,-2.073,0.9966,100753.12
0.9854,-0.0327,-0.2256,-2.744,-0.061,-1.463,1.0114,100753.2
0.978,-0.0381,-0.2251,-2.5,2.012,0.244,1.0043,100752.99
0.9722,-0.0415,-0.2119,-1.524,-2.439,0.183,0.9959,100753.27
0.9785,-0.0376,-0.2231,-2.012,-3.171,-1.037,1.0043,100753.67
0.9707,-0.0366,-0.2256,-0.915,-3.841,-0.732,0.9972,100752.64
0.9673,-0.0361,-0.2148,-1.22,-6.707,-0.854,0.9915,100752.71
0.9629,-0.0352,-0.2363,-4.085,-5.671,-1.159,0.9921,100752.61
0.9697,-0.0386,-0.2344,-2.805,-4.085,-0.671,0.9984,100752.55
0.9717,-0.0391,-0.2373,-1.037,-4.024,-0.427,1.001,100752.02
0.9717,-0.04,-0.2261,0.122,-1.646,-0.061,0.9984,100752.49
0.9634,-0.0449,-0.2251,0.244,-3.537,-0.183,0.9903,100753.06
0.9673,-0.0396,-0.2368,-0.305,-7.378,-0.732,0.9966,100753.15
0.9668,-0.0308,-0.2363,0.549,-5.244,-0.793,0.9957,100752.6
0.9614,-0.0264,-0.2412,-0.366,-2.927,-0.671,0.9916,100752.45
0.9688,-0.0234,-0.2632,-1.768,-0.671,-0.671,1.0041,100752.8
0.9756,-0.02,-0.2549,-0.549,-0.305,0.0,1.0085,100753.44
0.9761,-0.0249,-0.2568,0.244,-1.951,0.61,1.0096,100753.68
0.9624,-0.0366,-0.2515,0.061,-1.159,0.854,0.9954,100753.0
0.9668,-0.0435,-0.2432,-0.244,-2.012,0.183,0.9979,100753.47
0.9692,-0.0532,-0.2598,-4.268,0.244,0.122,1.0049,100753.95
0.959,-0.0488,-0.2544,-4.756,0.0,-0.244,0.9934,100754.2
0.9663,-0.0396,-0.2603,-5.427,2.927,0.976,1.0015,100754.52
0.9829,-0.0288,-0.2695,-5.0,7.195,3.476,1.0196,100754.52
0.9854,-0.0195,-0.2407,-3.659,12.683,6.707,1.0145,100755.15
0.9795,-0.0146,-0.207,-0.976,37.134,10.671,1.0012,100754.12
0.9834,-0.0107,-0.1406,1.585,59.878,10.61,0.9935,100753.97
0.9375,-0.0342,-0.0942,-4.39,47.805,2.927,0.9428,100754.35
1.0342,-0.0571,-0.1406,-13.11,35.244,-2.561,1.0453,100754.54
1.0303,-0.0596,-0.1255,-4.268,44.878,4.451,1.0396,100754.67
0.9551,-0.0552,-0.0142,-5.366,54.329,1.037,0.9568,100753.95
0.9834,-0.0366,-0.0405,-16.829,45.854,-11.159,0.9849,100753.76
0.9888,-0.0146,-0.0586,-18.963,20.244,-17.195,0.9906,100754.11
0.9932,-0.0132,-0.0298,-13.232,-1.524,-14.268,0.9937,100754.41
0.9883,-0.0039,-0.0239,-2.012,-9.146,-8.049,0.9886,100753.9
0.9736,-0.001,-0.0078,3.902,0.122,-0.549,0.9737,100754.12
0.9902,0.0078,0.0088,4.817,2.439,1.402,0.9903,100753.21
1.0127,0.0117,-0.0269,-0.366,-9.207,2.561,1.0131,100753.98
0.999,-0.0098,-0.02,-6.22,-12.5,4.268,0.9993,100754.3
1.001,-0.0234,-0.0337,-2.439,1.22,5.854,1.0018,100754.93
0.9814,-0.019,-0.0493,2.988,0.61,7.195,0.9829,100755.52
0.9321,-0.0195,-0.042,4.085,-2.439,9.329,0.9333,100755.81
0.8911,-0.0278,0.0024,4.39,1.159,15.793,0.8916,100755.55
0.9644,-0.04,0.0298,7.5,5.915,23.171,0.9656,100755.36
1.0405,-0.0923,-0.0503,8.171,22.988,22.561,1.0458,100754.97
1.0894,-0.1167,-0.0225,6.159,30.671,10.732,1.0958,100754.41
1.0635,-0.04,0.0547,7.5,17.561,-3.841,1.0656,100754.23
1.0127,-0.02,0.0518,5.488,5.305,-2.439,1.0142,100753.87
0.9995,-0.0415,0.0562,9.573,-5.488,5.671,1.0019,100753.59
0.9858,-0.0645,0.0493,7.683,-8.049,6.28,0.9892,100753.61
1.0112,-0.0786,-0.0171,2.683,2.744,1.463,1.0144,100754.11
0.9976,-0.0933,0.0063,4.207,2.378,-1.037,1.0019,100752.92
0.9995,-0.0737,0.0337,6.159,-3.476,-2.561,1.0028,100752.85
1.0063,-0.0659,-0.0068,4.146,0.61,-2.073,1.0085,100753.84
0.9893,-0.083,0.0103,5.122,0.732,1.585,0.9928,100753.68
0.9663,-0.0928,0.0459,6.951,-4.756,0.488,0.9718,100753.22
0.9712,-0.0952,0.0464,6.646,-1.28,-1.22,0.9769,100754.23
0.98,-0.103,0.0649,6.829,2.012,0.61,0.9875,100754.51
0.9609,-0.0981,0.0806,7.439,3.049,0.427,0.9693,100754.7
0.981,-0.0786,0.0645,6.463,4.756,-0.671,0.9862,100754.85
0.9863,-0.0757,0.0444,4.695,6.463,0.183,0.9902,100754.72
0.9927,-0.0762,0.0444,3.659,7.927,0.671,0.9966,100754.96
1.0278,-0.0767,0.041,4.024,9.024,0.854,1.0315,100754.43
1.0347,-0.0757,0.0366,4.634,6.22,0.61,1.0381,100755.0
1.0181,-0.0752,0.0483,4.756,2.988,1.159,1.022,100755.55
1.0044,-0.0771,0.0527,3.659,-1.28,0.549,1.0087,100755.61
0.9912,-0.0767,0.0605,2.744,-2.195,-0.183,0.996,100756.01
0.9839,-0.063,0.0591,1.402,-2.622,-0.854,0.9877,100755.7
0.9629,-0.062,0.0669,-2.988,-3.049,-1.341,0.9672,100755.34
0.9624,-0.0557,0.0649,-5.0,-4.146,-2.195,0.9662,100755.03
0.9673,-0.0405,0.0801,-5.671,0.061,-2.866,0.9714,100755.45
0.9189,-0.0322,0.0967,-5.305,0.0,-1.22,0.9246,100755.02
0.9111,-0.0366,0.1099,-6.463,1.28,0.793,0.9185,100753.97
0.9023,-0.0527,0.1064,-2.744,11.159,2.195,0.9101,100754.39
0.9082,-0.0449,0.0889,3.232,14.573,0.549,0.9136,100753.88
0.9668,-0.0469,0.0806,6.159,15.671,-2.012,0.9713,100754.93
1.002,-0.0366,0.085,12.073,15.427,-2.744,1.0062,100754.4
1.0098,-0.0317,0.1011,16.098,26.585,-2.927,1.0153,100754.23
1.0225,-0.0273,0.0981,14.878,19.085,-3.537,1.0275,100753.62
1.0342,-0.0405,0.1108,13.598,9.512,-1.098,1.0409,100753.88
1.0181,-0.0586,0.1401,13.11,13.11,1.159,1.0293,100753.84
0.979,-0.0674,0.1309,12.439,13.598,3.049,0.99,100754.27
0.9927,-0.0811,0.1738,11.524,11.707,5.427,1.011,100754.23
1.0005,-0.0581,0.2041,9.024,23.232,6.524,1.0227,100754.2
0.9487,-0.0747,0.1353,-0.061,21.646,6.524,0.9612,100753.68
1.0171,-0.105,0.1157,5.061,-10.305,9.451,1.029,100754.36
0.9395,-0.1128,0.144,14.329,-22.988,14.39,0.9571,100754.36
0.9326,-0.1001,0.0938,15.0,-33.11,9.634,0.9426,100754.25
0.9019,-0.1006,0.1699,15.305,-33.049,3.78,0.9232,100754.77
0.9414,-0.1045,0.2095,3.841,-34.573,-3.963,0.9701,100754.53
1.002,-0.0674,0.0698,-8.476,-41.341,-11.951,1.0066,100754.74
1.0742,-0.0737,0.0332,-13.659,-39.146,-10.122,1.0773,100755.27
1.0215,-0.0947,0.0845,-10.61,-22.866,-0.732,1.0293,100755.68
0.9995,-0.0825,-0.0317,-8.963,-10.915,-1.524,1.0034,100755.86
0.9956,-0.0811,-0.0483,-1.585,7.988,-2.378,1.0001,100756.73
0.9839,-0.0601,0.001,5.976,22.683,-4.939,0.9857,100756.44
1.0215,-0.0391,0.0469,9.146,32.927,-7.378,1.0233,100756.74
1.0439,-0.0098,0.04,9.39,38.659,-6.524,1.0448,100757.3
1.022,-0.0303,0.0952,7.927,59.817,-6.341,1.0268,100757.72
0.9727,-0.0469,0.1802,16.098,71.22,-5.427,0.9903,100757.92
1.022,0.0034,0.1807,15.732,40.183,-6.037,1.0378,100757.35
0.9927,-0.0278,0.2402,6.159,29.024,-2.439,1.0217,100758.29
0.9189,-0.0273,0.1807,4.573,2.134,-4.939,0.9369,100757.62
0.9883,-0.0161,0.2021,-5.976,-22.378,-13.963,1.0089,100758.6
1.0283,0.0132,0.2241,-13.049,-21.037,-17.622,1.0525,100757.87
0.9771,0.0063,0.1387,-17.744,-6.768,-10.183,0.9869,100757.39
0.9624,0.0088,0.1177,-6.098,-16.951,-11.951,0.9696,100757.09
0.9644,0.0234,0.1538,1.463,-15.183,-11.402,0.9768,100757.61
0.9854,0.0381,0.1724,-0.305,9.146,-5.427,1.001,100757.02
0.9434,-0.0054,0.1997,-2.744,17.378,-6.524,0.9643,100757.28
0.9702,0.0605,0.1963,6.524,-6.524,-13.598,0.9917,100757.5
0.9858,0.0601,0.1719,0.366,-1.341,-8.476,1.0025,100758.65
0.9858,0.0601,0.1387,-0.488,-10.0,-6.159,0.9974,100758.51
0.9868,0.0654,0.1475,2.378,-16.341,-5.854,0.9999,100757.73
0.938,0.0513,0.1006,-5.732,0.793,-1.646,0.9448,100757.97
0.9551,0.0488,0.1099,-1.646,-1.707,-4.268,0.9626,100758.15
1.0283,0.0674,0.0894,5.61,-9.573,-6.768,1.0344,100758.42
1.0098,0.0781,0.0952,7.134,-2.5,-4.634,1.0172,100758.73
0.9243,0.0615,0.1367,5.244,-2.012,-0.915,0.9364,100758.49
0.9771,0.0615,0.1421,3.171,-10.915,-2.866,0.9892,100758.66
1.0376,0.1064,0.1162,4.512,-22.134,-2.134,1.0495,100758.47
0.98,0.0879,0.1279,0.061,-6.159,5.0,0.9922,100758.41
0.9834,0.0625,0.1567,-2.561,-14.451,0.183,0.9978,100758.24
1.0005,0.0762,0.1348,-1.159,-19.207,-1.585,1.0124,100758.27
0.9902,0.0601,0.123,-0.671,-10.549,-2.622,0.9997,100759.13
0.9946,0.0732,0.0942,1.829,-16.22,-7.256,1.0018,100759.55
1.0386,0.0835,0.0288,1.707,-22.317,-4.634,1.0423,100759.84
1.0078,0.0991,0.0391,8.476,-18.78,1.585,1.0134,100759.69
0.9941,0.0825,0.0913,16.829,-1.28,10.671,1.0017,100759.59
1.0137,0.1035,0.0938,19.085,-3.659,8.963,1.0232,100759.4
1.02,0.1309,0.0752,10.732,-11.951,13.476,1.0311,100759.72
0.9536,-0.0132,0.0854,15.793,7.317,24.695,0.9575,100759.96
0.9619,0.0254,0.0938,54.451,-26.646,10.0,0.9668,100759.92
0.8901,0.1426,0.1118,64.512,-45.732,3.841,0.9084,100759.77
1.0283,-0.0005,0.0166,13.72,-30.061,5.0,1.0285,100759.65
1.0659,0.0562,-0.0415,16.707,-41.585,2.866,1.0682,100759.58
1.0796,0.0728,0.0332,33.598,-36.829,0.671,1.0825,100759.5
1.1328,0.0571,-0.0142,18.902,-33.293,-7.561,1.1343,100759.44
1.167,0.123,-0.1411,22.622,-43.78,-0.488,1.1819,100759.77
1.1118,0.0703,-0.1733,25.915,-31.341,6.159,1.1274,100759.48
1.0391,-0.0029,-0.1187,17.439,-32.073,4.329,1.0458,100760.16
0.9263,-0.0215,-0.168,5.122,-24.512,18.232,0.9416,100759.4
0.9644,0.0,-0.2144,0.061,-15.427,26.646,0.9879,100757.39
1.0205,-0.0254,-0.2075,-1.463,-5.976,24.817,1.0417,100757.09
0.9199,-0.0107,-0.2485,-9.024,10.732,34.146,0.953,100756.62
0.8921,-0.1064,-0.2393,-15.427,13.171,34.634,0.9297,100757.1
0.9146,-0.1309,-0.2231,-13.841,-2.744,17.866,0.9504,100756.89
0.8682,-0.1157,-0.2305,-16.037,1.098,10.976,0.9057,100756.82
0.9873,-0.0806,-0.2617,-13.659,-13.415,2.805,1.0246,100757.62
1.0015,-0.0518,-0.2793,-18.415,-7.317,-5.0,1.041,100757.62
0.9907,-0.0552,-0.3164,-30.61,-6.28,-8.841,1.0415,100758.22
0.9512,-0.0273,-0.3149,-29.695,-15.793,-8.415,1.0023,100757.68
0.9282,-0.0439,-0.252,-29.756,2.012,-8.354,0.9628,100758.75
0.9424,-0.0576,-0.2402,-30.732,6.89,-14.39,0.9742,100757.47
0.9336,-0.0195,-0.2734,-23.598,-15.976,-16.341,0.973,100757.34
