ax,ay,az,gx,gy,gz,avm,pressure
0.978,-0.1572,-0.1538,-0.183,0.671,1.524,1.0025,100795.12
0.9751,-0.1523,-0.1665,-0.854,0.61,1.829,1.0009,100795.54
0.9795,-0.1567,-0.1602,-0.793,2.561,1.646,1.0048,100795.59
0.9805,-0.1636,-0.147,-0.549,0.488,0.366,1.0048,100795.16
0.9746,-0.1558,-0.1567,-0.366,-1.524,0.305,0.9993,100795.72
0.9727,-0.1519,-0.1646,0.061,-0.427,0.915,0.9981,100795.02
0.9775,-0.1553,-0.1577,0.122,0.549,0.793,1.0023,100795.35
0.9766,-0.1562,-0.1597,0.122,0.366,0.793,1.0018,100795.84
0.9775,-0.1577,-0.1616,0.183,1.037,1.463,1.0033,100796.33
0.9751,-0.1611,-0.1567,-0.305,1.22,1.768,1.0007,100795.48
0.9746,-0.1572,-0.1597,-0.549,1.768,1.768,1.0,100795.1
0.9775,-0.1582,-0.1567,-0.488,2.805,1.768,1.0026,100795.54
0.9766,-0.1626,-0.1504,-0.549,1.89,1.402,1.0014,100795.87
0.98,-0.1641,-0.1519,-0.915,1.098,0.915,1.0052,100796.38
0.9805,-0.1606,-0.1484,-1.22,0.854,0.854,1.0046,100797.24
0.9731,-0.1562,-0.1528,-1.037,-0.061,1.159,0.9974,100796.45
0.9775,-0.1562,-0.1519,-0.427,0.976,1.402,1.0015,100796.45
0.9824,-0.1606,-0.1494,-0.122,0.061,0.61,1.0066,100796.2
0.978,-0.1602,-0.1484,-0.244,-1.341,-0.061,1.0021,100796.03
0.9761,-0.1597,-0.1533,0.183,-2.134,0.244,1.0009,100795.77
0.9766,-0.1616,-0.1514,0.244,-2.439,0.122,1.0014,100795.67
0.9761,-0.1646,-0.1528,0.0,-2.988,-1.524,1.0016,100796.02
0.9805,-0.1636,-0.1606,-0.732,-2.622,-2.195,1.0069,100796.25
0.9756,-0.1616,-0.166,-1.707,-1.768,-1.951,1.0027,100795.81
0.9819,-0.1558,-0.1509,-0.244,-0.183,-1.463,1.0056,100795.66
0.9775,-0.1484,-0.1406,-0.244,-2.012,-2.256,0.9987,100795.73
0.9629,-0.146,-0.165,-1.646,-4.695,-2.561,0.9878,100795.72
0.9858,-0.1455,-0.1572,-1.341,-3.171,-2.744,1.0088,100795.93
0.9878,-0.1431,-0.1533,-1.22,-8.598,-3.11,1.0098,100794.62
0.9678,-0.1372,-0.1909,-1.098,-12.5,-4.085,0.9959,100794.35
0.9692,-0.1401,-0.1909,0.732,-4.878,-4.512,0.9978,100794.77
0.9849,-0.1357,-0.189,1.341,-4.085,-6.037,1.012,100794.36
0.9688,-0.1245,-0.1943,0.915,-7.195,-6.22,0.9959,100794.76
