ax,ay,az,gx,gy,gz,avm,pressure
0.9897,-0.0718,-0.1362,-0.61,-0.183,0.366,1.0017,100865.85
0.9927,-0.0732,-0.1426,0.427,-2.683,0.061,1.0055,100866.25
0.9863,-0.0742,-0.1411,1.829,-3.11,-0.305,0.9991,100866.31
0.9829,-0.0679,-0.1509,2.012,-3.902,-1.159,0.9967,100866.87
0.9819,-0.0771,-0.1499,2.195,-2.195,-1.037,0.9963,100866.05
0.9873,-0.0767,-0.1479,2.317,-2.134,-1.159,1.0013,100865.82
0.9834,-0.0742,-0.1484,1.951,-1.037,-0.732,0.9973,100865.89
0.9858,-0.0747,-0.1509,1.89,0.549,-0.427,1.0001,100865.79
0.9883,-0.0762,-0.1475,1.524,0.305,-0.427,1.0021,100865.11
0.9883,-0.0747,-0.1489,0.793,-0.122,-0.122,1.0022,100866.31
0.9849,-0.0718,-0.1484,0.061,0.183,0.244,0.9986,100865.64
0.9863,-0.0737,-0.1475,0.244,-0.488,-0.183,1.0,100865.73
0.9858,-0.0767,-0.1475,0.427,-1.037,-0.61,0.9998,100865.65
0.9873,-0.0757,-0.1465,0.427,-1.098,-0.915,1.001,100865.75
0.981,-0.0703,-0.1582,0.122,-1.037,-0.61,0.9961,100865.95
0.9819,-0.063,-0.1577,-0.244,2.134,0.061,0.9965,100865.23
0.9902,-0.0601,-0.1416,-1.159,5.305,0.793,1.0021,100864.81
0.9995,-0.0679,-0.1279,-1.585,2.622,0.305,1.0099,100865.48
0.9819,-0.063,-0.1465,-1.402,-3.598,-0.976,0.9948,100866.61
0.9824,-0.0601,-0.1445,-0.671,0.854,-0.244,0.9948,100866.32
0.9946,-0.0654,-0.144,-0.122,0.732,0.671,1.0071,100866.72
0.9888,-0.0703,-0.1455,-0.549,-2.439,-0.183,1.0019,100865.7
0.9814,-0.0664,-0.1523,-1.28,-2.622,-0.366,0.9954,100866.01
0.9839,-0.0688,-0.1445,-1.159,0.793,0.976,0.9968,100866.14
0.9795,-0.0737,-0.1484,-6.098,2.012,2.317,0.9934,100865.8
0.9971,-0.0566,-0.1401,-5.976,3.78,2.805,1.0085,100866.08
1.0049,-0.0469,-0.1455,-5.549,-2.012,1.098,1.0164,100865.8
0.9795,-0.0513,-0.1694,-3.049,-6.402,-1.28,0.9954,100865.48
0.9971,-0.0518,-0.1675,1.707,-3.537,-1.341,1.0124,100865.84
0.9937,-0.0708,-0.1455,4.512,-2.134,-1.159,1.0067,100864.77
0.978,-0.0801,-0.1318,4.024,-5.976,-4.817,0.9901,100865.7
0.9771,-0.0654,-0.165,1.524,-10.0,-6.098,0.993,100865.64
0.9727,-0.0581,-0.2085,-0.976,2.012,-1.341,0.9964,100865.84
0.979,-0.0527,-0.1807,0.244,32.256,4.817,0.9969,100865.99
0.98,-0.0557,-0.0977,3.537,37.927,7.5,0.9864,100866.36
0.999,-0.061,-0.0918,1.829,27.378,5.671,1.0051,100866.63
0.999,-0.0732,-0.0039,1.402,24.146,6.89,1.0017,100867.44
0.9873,-0.0859,-0.0425,-0.976,0.488,5.976,0.9919,100867.22
1.0015,-0.0854,-0.0601,-0.976,-6.951,2.5,1.0069,100866.82
0.9888,-0.0835,-0.0762,0.427,-9.817,0.976,0.9952,100865.82
0.9819,-0.0908,-0.0854,1.402,-6.829,2.988,0.9898,100866.73
0.9932,-0.0889,-0.0942,0.305,-5.549,3.354,1.0016,100865.56
0.9985,-0.084,-0.0913,-0.854,-3.963,2.622,1.0062,100865.81
0.9932,-0.0854,-0.0991,-1.28,-5.183,2.439,1.0017,100865.41
0.9839,-0.0913,-0.1099,-0.671,-3.049,2.378,0.9942,100865.79
0.9966,-0.0957,-0.0908,-0.427,2.805,2.134,1.0053,100865.98
1.0029,-0.1108,-0.0063,-0.244,-5.793,0.0,1.0091,100866.73
0.9736,-0.0483,-0.2305,-5.061,-36.402,-6.829,1.0017,100866.11
0.9849,-0.0635,-0.1431,0.183,2.134,-0.122,0.9972,100866.5
0.9927,-0.0776,-0.1357,0.427,-0.61,0.366,1.0049,100866.27
0.978,-0.0781,-0.1699,0.61,-7.5,-0.915,0.9957,100865.98
0.9897,-0.0884,-0.1523,1.159,-1.768,-0.305,1.0053,100866.02
0.978,-0.0859,-0.1538,1.22,4.146,-1.037,0.9938,100866.5
0.9775,-0.0952,-0.1416,1.037,9.695,-4.939,0.9923,100865.92
0.9873,-0.0767,-0.1323,-0.915,7.073,-4.756,0.9991,100866.94
0.9888,-0.0537,-0.1558,-2.134,5.854,-1.341,1.0024,100866.38
0.9883,-0.0586,-0.1274,-0.427,12.988,2.805,0.9982,100866.57
0.9976,-0.0723,-0.0928,0.183,9.329,2.439,1.0045,100866.22
0.999,-0.064,-0.1221,-1.098,-3.11,-0.244,1.0085,100866.09
0.9927,-0.0601,-0.1294,0.549,-5.061,-0.305,1.0029,100865.61
0.9863,-0.0762,-0.1245,2.5,-6.22,0.122,0.9971,100865.38
0.9854,-0.0747,-0.1353,1.585,-7.073,-0.671,0.9974,100865.36
0.9844,-0.0723,-0.147,-0.427,-4.024,-0.122,0.9979,100865.78
0.9941,-0.0649,-0.124,-1.524,-0.549,0.244,1.0039,100866.01
0.9819,-0.0649,-0.1416,-1.402,-6.707,-0.061,0.9942,100866.41
0.9893,-0.0571,-0.1494,0.122,-3.902,1.28,1.0021,100865.88
0.9995,-0.0664,-0.1318,-0.305,-6.402,2.439,1.0104,100865.33
0.9761,-0.0825,-0.1509,0.488,-8.232,0.793,0.9911,100864.31
0.9878,-0.082,-0.1509,0.61,-7.988,-0.976,1.0026,100864.68
0.9868,-0.0737,-0.1689,0.244,-8.537,-0.122,1.0039,100864.95
0.978,-0.0669,-0.1719,0.854,-4.756,-0.183,0.9953,100865.02
0.981,-0.0601,-0.1689,-0.488,-1.402,-0.061,0.9972,100865.1
0.9805,-0.0684,-0.1636,-0.793,-1.524,0.793,0.9964,100864.81
0.9863,-0.0645,-0.1743,-0.061,-2.805,-0.183,1.0037,100864.95
0.981,-0.062,-0.1709,-0.366,0.427,0.488,0.9977,100865.05
0.981,-0.0703,-0.166,-0.183,1.402,0.427,0.9974,100865.62
0.9736,-0.0723,-0.1626,-0.732,-0.793,0.305,0.9898,100865.55
0.9834,-0.0708,-0.1655,-3.049,-7.5,0.61,0.9997,100866.11
0.9966,-0.061,-0.1816,-1.037,-6.098,-0.183,1.0148,100865.44
0.9849,-0.0659,-0.1772,0.549,-1.037,0.305,1.0029,100865.66
0.9756,-0.0723,-0.1738,0.732,-0.915,0.244,0.9936,100866.07
0.9795,-0.0718,-0.1787,0.488,-0.549,0.0,0.9982,100866.12
0.981,-0.0674,-0.1846,0.061,0.122,-0.061,1.0004,100866.44
0.9805,-0.0649,-0.1821,-0.244,1.646,0.183,0.9994,100865.46
0.981,-0.0669,-0.1782,-0.671,3.171,1.098,0.9993,100864.84
0.9834,-0.0674,-0.1729,-0.244,2.561,0.732,1.0007,100864.62
0.9854,-0.0659,-0.1636,-0.305,2.317,0.244,1.001,100865.54
0.9834,-0.0708,-0.1577,-0.61,2.317,0.915,0.9985,100866.11
0.9839,-0.0669,-0.1675,-0.061,0.366,0.427,1.0003,100866.07
0.9849,-0.061,-0.1807,-0.183,-0.366,0.244,1.0032,100865.56
0.9844,-0.0649,-0.1665,-0.061,0.854,0.61,1.0005,100865.91
0.9829,-0.064,-0.166,-0.183,0.549,0.427,0.9989,100865.66
0.9814,-0.063,-0.1665,-0.061,0.671,0.732,0.9975,100865.24
0.9834,-0.0693,-0.1685,0.366,-0.549,0.61,1.0001,100865.52
0.9858,-0.0708,-0.167,0.427,-0.488,0.305,1.0024,100865.24
0.981,-0.0674,-0.1714,0.244,-0.915,0.244,0.9981,100864.44
0.9819,-0.0649,-0.1719,0.183,-0.366,0.671,0.999,100864.8
0.9849,-0.0674,-0.1714,-0.244,0.122,0.366,1.0019,100864.82
0.9814,-0.0664,-0.166,-0.366,0.305,0.122,0.9976,100864.98
0.9814,-0.0664,-0.1665,0.0,0.61,0.61,0.9977,100865.7
0.9844,-0.0659,-0.1646,0.244,-0.061,0.671,1.0002,100866.02
0.9844,-0.0645,-0.1714,-0.183,-2.866,0.244,1.0013,100865.63
