ax,ay,az,gx,gy,gz,avm,pressure
0.9995,-0.0806,0.0137,1.22,-4.695,1.341,1.0028,100762.12
0.9805,-0.0894,0.002,1.524,-2.073,0.61,0.9845,100762.54
0.9819,-0.0889,-0.002,0.244,0.427,1.341,0.9859,100761.99
1.0034,-0.0825,-0.001,-1.341,-1.585,1.768,1.0068,100761.7
0.9932,-0.0835,0.0103,-2.012,1.341,0.61,0.9967,100760.99
0.9932,-0.0884,0.0117,-2.195,3.415,0.488,0.9972,100760.48
0.9932,-0.0884,0.0137,-2.256,4.207,0.61,0.9972,100760.32
0.9917,-0.0859,0.0298,-3.598,3.659,0.549,0.9959,100760.71
1.0024,-0.0815,0.0239,-2.012,1.341,0.732,1.006,100760.16
0.9932,-0.0918,0.0078,0.122,0.732,0.183,0.9974,100760.84
0.9771,-0.0977,0.022,-0.61,3.902,0.305,0.9822,100761.59
0.9678,-0.0957,0.0449,-2.561,5.854,1.098,0.9735,100760.93
0.9756,-0.0889,0.0615,-3.659,5.793,0.976,0.9816,100761.16
0.9761,-0.0801,0.0698,-3.415,5.183,0.549,0.9818,100761.61
0.9932,-0.0786,0.0723,-1.89,10.549,0.0,0.9989,100761.32
0.9985,-0.0864,0.0835,-1.463,11.829,0.915,1.0057,100760.37
1.0015,-0.0928,0.0586,-0.488,12.5,-1.707,1.0075,100760.63
1.02,-0.103,0.0239,-0.915,10.366,-5.122,1.0255,100760.46
1.0361,-0.1323,0.062,4.573,11.159,0.366,1.0464,100761.05
1.0562,-0.0752,0.0508,31.951,-0.549,6.89,1.06,100761.16
1.0317,-0.0679,0.0308,6.341,-3.598,-6.037,1.0344,100762.09
1.0044,-0.1089,0.0371,-13.963,7.256,-7.378,1.011,100762.16
1.0137,-0.104,0.0186,-2.378,10.61,-5.854,1.0192,100761.91
0.9985,-0.061,0.063,-5.976,6.28,-10.732,1.0024,100762.4
0.9395,-0.0444,0.1367,-5.549,0.793,5.915,0.9504,100761.53
0.9175,-0.0239,0.1685,2.256,-1.22,2.683,0.9331,100762.01
0.8569,-0.0513,0.1265,2.439,-2.195,0.061,0.8677,100762.23
0.9688,-0.0728,0.1094,3.72,4.573,3.659,0.9776,100761.56
1.0029,-0.0933,0.1025,9.268,12.439,0.061,1.0125,100760.77
1.0713,-0.1138,0.0635,13.963,7.683,-1.159,1.0792,100760.59
1.1538,-0.0967,0.0107,17.744,9.146,-6.829,1.1579,100761.15
1.1318,-0.0522,0.0518,17.012,9.573,-5.366,1.1342,100761.71
1.0601,-0.0415,0.0479,9.573,-3.232,4.085,1.0619,100761.74
0.9775,-0.0425,0.0825,-0.183,-13.354,9.512,0.9819,100761.05
0.9419,-0.0527,0.104,-5.915,-27.805,9.39,0.9491,100761.88
0.8887,-0.1113,0.0884,-10.427,-21.524,2.195,0.9,100760.79
0.9028,-0.0942,0.1221,3.598,8.11,-14.756,0.9159,100761.09
0.9106,-0.0718,0.1064,9.39,1.463,-10.0,0.9196,100761.08
0.9438,-0.0889,0.0869,4.695,-8.72,2.805,0.952,100761.3
0.9922,-0.1001,0.0361,8.049,-2.5,6.159,0.9979,100761.32
1.0547,-0.0918,-0.0083,7.805,-3.049,12.012,1.0587,100761.12
1.0869,-0.0684,0.0107,-1.463,0.0,14.207,1.0891,100760.23
1.0718,-0.0444,0.0811,-3.354,-0.488,9.573,1.0758,100760.77
0.9951,-0.0586,0.0806,4.024,-3.78,0.976,1.0001,100760.7
0.958,-0.0776,0.0405,5.854,-4.024,-3.049,0.962,100761.51
0.9727,-0.0884,0.0527,-3.171,-2.378,-3.171,0.9781,100760.53
0.9692,-0.0977,0.0757,-8.232,-1.524,-4.512,0.9771,100760.63
0.937,-0.1255,0.104,-6.951,-8.232,0.61,0.9511,100760.9
0.9722,-0.1318,0.0776,-5.366,-6.89,3.841,0.9841,100761.27
1.0337,-0.1104,0.0444,-6.768,-5.305,3.902,1.0405,100760.47
1.0444,-0.0757,0.0205,-9.512,-5.061,0.366,1.0474,100760.12
1.0161,-0.0532,0.0088,-11.037,-1.646,-5.244,1.0175,100759.45
0.9922,-0.0312,0.0127,-13.598,2.073,-6.22,0.9928,100758.84
0.9639,-0.0288,0.0396,-16.037,3.598,-5.732,0.9651,100758.62
0.9438,-0.0361,0.0518,-11.098,3.049,-5.305,0.946,100759.18
0.9604,-0.0381,0.0571,-6.89,2.012,-4.512,0.9629,100759.33
0.981,-0.0342,0.0718,-8.841,0.915,-6.707,0.9842,100759.93
0.9971,-0.0278,0.0713,-7.988,4.512,-8.902,1.0,100759.8
1.0293,-0.0181,0.061,-7.195,7.561,-7.683,1.0313,100759.79
