ax,ay,az,gx,gy,gz,avm,pressure
0.9619,0.0264,-0.252,-0.061,-0.61,0.305,0.9947,100859.03
0.9658,0.0288,-0.2495,-0.122,-0.305,0.244,0.9979,100859.21
0.9639,0.0293,-0.2505,-0.183,-1.829,0.427,0.9963,100859.71
0.9639,0.0288,-0.2554,-0.183,-2.744,0.244,0.9975,100860.19
0.96,0.0308,-0.2588,0.0,-2.866,0.0,0.9947,100860.56
0.9624,0.0303,-0.2603,0.061,-0.366,-0.122,0.9974,100860.48
0.9575,0.0254,-0.2539,-0.061,0.854,0.427,0.9909,100860.05
0.9614,0.0278,-0.2627,0.061,0.671,-0.366,0.9971,100860.09
0.9663,0.0352,-0.2666,0.183,-0.793,-0.854,1.003,100860.12
0.9653,0.0269,-0.2534,0.305,-0.061,0.183,0.9984,100859.05
0.9556,0.0249,-0.2539,-0.122,-0.122,0.488,0.989,100858.86
0.9629,0.0264,-0.251,-0.427,0.61,0.244,0.9954,100859.08
0.9668,0.0327,-0.2505,-0.61,0.122,0.61,0.9993,100859.0
0.959,0.0396,-0.2534,-0.915,-0.366,0.915,0.9927,100858.46
0.9688,0.0317,-0.2466,-0.732,0.793,0.915,1.0001,100858.66
0.9624,0.0347,-0.2505,-0.183,-0.366,0.976,0.9951,100858.71
0.9624,0.0337,-0.2534,0.122,-0.122,0.671,0.9958,100858.49
0.9609,0.0293,-0.2593,0.061,0.427,0.488,0.9957,100858.34
0.9561,0.0229,-0.2568,0.061,-0.183,-0.061,0.9902,100858.73
0.9697,0.0244,-0.2598,-0.061,0.244,-0.549,1.0042,100858.52
0.9683,0.0264,-0.2559,0.183,-0.732,0.0,1.0018,100859.08
0.9595,0.0308,-0.2549,-0.183,-1.585,0.305,0.9932,100858.63
0.959,0.0322,-0.2607,-0.427,-1.829,0.244,0.9943,100859.68
0.9521,0.0356,-0.2573,-0.549,-1.768,0.244,0.987,100859.59
0.958,0.0317,-0.2583,-0.122,-0.122,0.244,0.9927,100858.94
0.9668,0.0312,-0.2583,-0.061,-0.183,0.305,1.0012,100859.89
0.957,0.0322,-0.2627,-0.122,-0.427,0.549,0.993,100859.41
0.9609,0.0312,-0.2622,-0.122,0.732,0.488,0.9966,100859.76
0.9609,0.0264,-0.2568,-0.305,0.0,0.427,0.995,100860.16
0.9692,0.0278,-0.2524,-0.122,-1.159,-0.122,1.002,100860.46
0.9565,0.0356,-0.2617,0.061,-1.159,0.061,0.9923,100859.95
0.9639,0.0366,-0.2617,0.0,-0.488,0.244,0.9994,100860.78
0.9614,0.0308,-0.2588,0.122,-0.793,0.427,0.9961,100860.57
0.9575,0.0293,-0.2563,0.427,-1.585,-0.122,0.9917,100860.27
0.9604,0.0347,-0.2656,0.549,-1.89,-0.366,0.9971,100860.31
0.958,0.0332,-0.269,1.037,-2.012,-0.854,0.9956,100861.1
0.9575,0.0356,-0.2695,0.976,-1.28,-1.037,0.9954,100861.56
0.9556,0.0342,-0.269,1.28,-1.646,-1.037,0.9933,100862.16
0.9512,0.0342,-0.2563,1.463,-2.134,-1.646,0.9857,100862.15
0.9648,0.0459,-0.2671,1.037,-1.524,-2.439,1.0022,100862.33
0.9829,0.0474,-0.2603,1.463,-2.256,-2.073,1.0179,100861.85
0.9717,0.042,-0.2549,1.829,-5.854,-0.244,1.0054,100862.25
0.9385,0.0498,-0.2705,1.524,-5.061,0.366,0.978,100861.31
0.9663,0.0547,-0.293,1.037,-3.659,-0.61,1.0112,100861.88
0.9443,0.0474,-0.2778,2.317,-0.732,0.793,0.9855,100861.9
0.9678,0.0396,-0.2603,3.415,-0.549,-0.061,1.0029,100860.91
0.958,0.0317,-0.2964,1.89,-2.012,0.305,1.0033,100860.68
0.9473,0.0439,-0.2905,1.707,-1.951,1.707,0.9918,100860.11
0.9507,0.0474,-0.3066,2.439,-1.646,2.561,1.0,100860.21
0.9478,0.0249,-0.2964,2.622,-1.341,3.598,0.9933,100860.77
0.9429,0.0171,-0.3076,1.646,1.098,3.78,0.9919,100860.94
0.9497,0.0073,-0.2939,2.866,1.402,3.11,0.9942,100860.21
0.9624,0.0337,-0.2979,1.524,0.488,2.134,1.008,100860.3
0.9399,0.0254,-0.3853,3.415,1.89,3.902,1.0161,100860.23
