ax,ay,az,gx,gy,gz,avm,pressure
0.957,-0.2036,-0.2324,5.305,2.317,-0.122,1.0057,100795.42
0.9585,-0.2104,-0.2251,3.598,-1.037,-0.549,1.0068,100795.27
0.9531,-0.2056,-0.231,1.463,-3.598,-0.854,1.002,100795.0
0.9507,-0.1992,-0.2334,-0.305,-0.915,-0.122,0.999,100794.58
0.9546,-0.1895,-0.2344,-0.61,0.976,0.305,1.001,100794.75
0.959,-0.186,-0.2275,-0.122,1.28,0.671,1.003,100794.64
0.9551,-0.1934,-0.229,0.183,0.305,0.854,1.001,100794.7
0.9551,-0.2056,-0.2207,0.793,1.037,0.732,1.0016,100794.48
0.9561,-0.1987,-0.228,0.366,1.037,0.427,1.0028,100795.38
0.9595,-0.1929,-0.23,-0.183,2.073,1.341,1.0053,100794.98
0.9541,-0.1934,-0.2271,-0.427,2.073,1.768,0.9996,100794.58
0.9521,-0.1978,-0.2236,-0.183,1.951,1.28,0.9979,100794.64
0.958,-0.2017,-0.2202,0.671,2.683,1.159,1.0035,100794.79
0.9634,-0.2036,-0.2183,0.366,2.134,1.28,1.0086,100795.3
0.9565,-0.2036,-0.2227,-0.244,1.28,1.098,1.003,100795.08
0.9595,-0.2021,-0.2202,0.0,1.646,1.159,1.005,100795.27
0.9541,-0.1973,-0.2266,-0.427,0.549,1.402,1.0003,100794.47
0.9561,-0.2031,-0.2139,-0.732,2.317,1.707,1.0005,100794.82
0.958,-0.1929,-0.2202,-1.037,0.732,0.732,1.0017,100794.51
0.9541,-0.1948,-0.2153,-0.732,2.561,1.159,0.9973,100794.88
0.957,-0.2144,-0.207,-0.427,4.695,1.159,1.0024,100795.16
0.9585,-0.2231,-0.2109,-0.183,3.415,-0.244,1.0065,100795.25
0.96,-0.2168,-0.2119,0.183,3.354,-0.122,1.0067,100794.57
0.96,-0.209,-0.2075,0.244,5.549,1.585,1.0041,100794.67
0.9644,-0.1855,-0.2095,-2.012,3.78,1.829,1.0041,100795.34
0.9614,-0.1948,-0.1997,0.244,1.22,1.89,1.0011,100795.02
0.9551,-0.2085,-0.1958,0.732,0.732,2.317,0.997,100795.41
0.9639,-0.2217,-0.188,0.488,1.707,1.951,1.0067,100795.2
0.9727,-0.2173,-0.1875,-1.037,0.122,1.098,1.0141,100794.81
0.9624,-0.2095,-0.1792,-1.829,0.549,1.341,1.0011,100794.75
0.9604,-0.2026,-0.1846,-2.073,1.829,1.707,0.9988,100795.45
0.9624,-0.2041,-0.1929,-1.037,2.012,1.951,1.0025,100794.88
0.9634,-0.2114,-0.1904,0.732,1.524,2.378,1.0045,100795.55
0.9619,-0.2207,-0.187,1.524,0.183,1.89,1.0045,100795.2
0.9609,-0.2227,-0.186,2.012,-1.341,0.305,1.0038,100795.83
0.9668,-0.2197,-0.1816,1.951,-0.244,0.488,1.008,100795.3
0.9619,-0.2231,-0.1792,1.341,0.244,1.585,1.0036,100796.0
0.9478,-0.2202,-0.1948,0.427,-0.732,1.341,0.9923,100796.06
0.9517,-0.2202,-0.2002,0.244,0.732,0.854,0.9971,100795.84
0.9624,-0.2241,-0.2012,0.671,1.463,0.915,1.0084,100796.18
0.9653,-0.2207,-0.189,0.427,1.22,0.549,1.0081,100796.3
0.9629,-0.2109,-0.1831,-0.671,0.61,0.061,1.0026,100796.67
0.9561,-0.209,-0.1821,-0.427,1.768,1.22,0.9954,100796.19
0.9629,-0.2158,-0.1743,0.427,2.317,1.707,1.0021,100795.84
0.9648,-0.2212,-0.1738,0.488,1.341,1.098,1.005,100796.66
0.9614,-0.2222,-0.1792,0.305,0.915,0.793,1.0029,100796.43
0.9624,-0.2217,-0.1846,0.427,0.793,0.976,1.0047,100796.63
0.9658,-0.2222,-0.1748,-0.366,0.671,0.854,1.0063,100796.62
0.9614,-0.2202,-0.1772,-0.244,-0.427,0.549,1.0021,100797.05
0.9639,-0.2168,-0.1851,0.183,-0.793,0.488,1.0051,100797.34
0.9722,-0.2144,-0.1826,0.549,0.366,1.159,1.0121,100797.18
0.9619,-0.2183,-0.1709,-0.122,1.768,2.195,1.0011,100797.83
0.9536,-0.2197,-0.1733,-0.122,1.585,1.829,0.9938,100797.95
