ax,ay,az,gx,gy,gz,avm,pressure
0.9199,-0.1572,-0.3643,-0.061,-0.122,0.427,1.0018,100755.39
0.9185,-0.1587,-0.3647,0.183,-0.915,0.427,1.0009,100756.08
0.918,-0.1587,-0.3672,0.305,-1.768,0.366,1.0013,100757.47
0.9155,-0.1582,-0.3662,-0.183,-0.854,0.244,0.9987,100757.12
0.9175,-0.1602,-0.3677,-0.427,-0.671,0.183,1.0013,100756.74
0.9165,-0.1592,-0.3647,-0.366,-2.134,0.305,0.9992,100757.18
0.9199,-0.1567,-0.3677,-0.366,-4.939,0.488,1.003,100757.27
0.9131,-0.1606,-0.3784,-0.305,-6.22,0.976,1.0014,100756.83
0.9126,-0.1626,-0.3813,-1.341,-2.378,0.976,1.0023,100757.35
0.9126,-0.165,-0.3755,-1.89,-2.134,0.854,1.0005,100757.84
0.9204,-0.1582,-0.3896,-1.707,-4.024,1.28,1.0119,100758.23
0.9116,-0.1543,-0.3862,-1.707,0.61,2.439,1.002,100758.15
0.9033,-0.1562,-0.377,-2.561,6.22,1.89,0.9912,100757.81
0.9126,-0.1606,-0.3716,-3.659,5.305,-0.122,0.9984,100758.53
0.9185,-0.1543,-0.3765,-1.585,-0.915,-0.183,1.0045,100758.49
0.9126,-0.1597,-0.3716,2.988,-10.366,-0.244,0.9982,100758.55
0.918,-0.1548,-0.397,3.232,-10.732,-1.585,1.012,100758.49
0.9189,-0.1533,-0.3945,2.256,-2.317,-0.976,1.0117,100758.05
0.9219,-0.1616,-0.3931,3.171,-4.085,-0.488,1.0151,100757.61
0.9482,-0.1714,-0.3882,4.878,-7.317,-0.183,1.0389,100758.22
0.9917,-0.1777,-0.4004,6.341,-5.793,-1.646,1.0841,100758.11
0.9688,-0.1812,-0.3921,2.5,11.463,-8.72,1.0607,100757.25
0.979,-0.168,-0.3877,-3.598,10.61,-11.28,1.0663,100757.59
1.0059,-0.1592,-0.3862,-5.122,13.354,-10.976,1.0892,100758.31
0.9746,-0.1431,-0.3726,-0.366,12.866,-13.963,1.0532,100757.42
0.96,-0.1284,-0.3579,-10.366,20.488,-17.622,1.0325,100756.84
0.978,-0.0908,-0.334,-11.037,30.488,-17.5,1.0375,100756.41
0.957,-0.0771,-0.3521,-8.537,30.305,-14.573,1.0226,100756.66
0.9751,-0.0566,-0.2754,-4.207,40.793,-11.463,1.0148,100757.29
0.9263,-0.043,-0.2271,0.244,45.122,-10.61,0.9547,100757.34
0.9492,-0.0308,-0.1602,-1.159,24.207,-12.012,0.9631,100757.76
0.9141,-0.0332,-0.1724,3.11,-9.146,-15.244,0.9308,100757.11
0.9756,0.0044,-0.1973,9.451,-28.963,-15.183,0.9953,100757.23
0.9727,0.022,-0.1538,5.488,-4.207,-16.524,0.985,100757.23
0.8623,0.0093,-0.1846,-8.354,5.549,-16.707,0.8819,100757.48
0.9175,0.0278,-0.1694,-15.183,-7.5,-14.878,0.9334,100756.69
0.9209,0.0186,-0.1826,-14.329,6.341,-14.329,0.939,100756.72
0.8774,0.0039,-0.2095,-8.11,16.037,-12.195,0.9021,100756.53
0.9463,0.019,-0.1899,5.488,-2.317,-5.915,0.9654,100757.59
1.0171,0.0752,-0.2656,14.268,-1.159,-0.427,1.0539,100756.68
1.0127,0.0454,-0.2793,14.207,10.793,3.659,1.0515,100757.81
0.9619,-0.0054,-0.2168,24.512,12.012,9.573,0.9861,100758.68
0.9971,0.0249,-0.2495,24.878,7.5,9.939,1.0281,100757.62
1.0137,0.0205,-0.2051,12.012,23.902,5.488,1.0344,100757.81
0.9575,0.0005,-0.1416,4.146,17.927,1.585,0.9679,100758.2
0.9385,-0.0029,-0.1211,0.671,21.341,0.854,0.9463,100757.75
0.9565,0.002,-0.0947,2.317,44.268,6.463,0.9612,100758.65
0.9287,-0.0127,-0.0527,-0.915,33.963,-0.671,0.9303,100757.52
1.0356,0.0146,-0.0713,-6.585,13.963,-4.268,1.0382,100756.5
1.0415,0.022,-0.0571,-8.598,16.159,-5.488,1.0433,100757.29
1.0269,0.02,-0.0195,-8.902,4.878,-3.293,1.0272,100758.01
0.9839,0.0444,0.0005,-7.805,-5.793,-1.89,0.9849,100758.05
0.9595,0.0605,0.0215,-9.329,-5.61,-1.098,0.9616,100757.95
0.9023,0.0146,0.0444,-14.146,2.073,0.732,0.9036,100758.24
0.8853,-0.0039,0.019,-14.878,2.622,2.439,0.8855,100758.56
0.937,0.0073,-0.021,-10.122,0.427,6.646,0.9373,100759.07
0.9639,0.0049,0.0005,-5.549,6.159,11.89,0.9639,100758.73
1.0239,0.0,0.022,-3.598,14.939,14.207,1.0242,100757.59
1.064,-0.0098,-0.0244,-3.049,16.951,14.207,1.0643,100758.09
1.0796,-0.0195,0.0054,-3.293,7.927,14.085,1.0798,100757.98
1.0576,-0.0371,-0.0098,-3.537,6.28,14.268,1.0583,100759.12
1.0391,-0.0405,-0.0107,-0.671,4.695,13.11,1.0399,100758.63
1.0215,-0.0435,-0.0068,-0.061,0.427,11.463,1.0224,100758.41
1.0234,-0.0469,-0.0093,-0.183,0.488,10.549,1.0246,100757.95
1.0127,-0.0635,-0.0215,-0.061,2.134,10.244,1.0149,100758.01
0.9648,-0.0747,-0.001,1.463,-4.512,6.585,0.9677,100757.91
0.9561,-0.0786,0.0029,-0.122,-5.183,2.195,0.9593,100757.71
0.9629,-0.0967,-0.0068,-0.488,6.402,1.159,0.9678,100757.68
0.9697,-0.1011,-0.0161,2.439,12.805,1.159,0.9751,100758.13
0.9609,-0.0757,0.0117,5.915,9.146,1.341,0.964,100757.64
0.9185,-0.0752,0.0469,3.78,7.866,2.256,0.9227,100757.25
0.9087,-0.0938,0.0923,2.927,6.037,-3.78,0.9182,100756.95
0.8862,-0.1084,0.0601,8.72,15.366,-4.634,0.8949,100756.39
0.9072,-0.1138,0.0508,16.768,13.476,-1.585,0.9157,100756.42
0.9731,-0.1284,0.0811,24.573,4.024,5.732,0.9849,100756.47
1.1128,-0.1177,0.1001,25.488,-12.256,7.866,1.1235,100757.25
1.1787,-0.1099,0.0962,16.463,-30.366,3.293,1.1877,100757.56
1.2192,-0.1401,0.0488,5.244,-13.537,2.378,1.2282,100757.45
1.165,-0.1787,-0.0747,0.732,13.476,3.476,1.181,100757.47
1.0645,-0.165,-0.1128,6.951,14.39,2.805,1.0831,100755.98
0.9136,-0.1328,-0.0298,17.683,8.537,4.939,0.9237,100755.84
0.7666,-0.1396,0.0928,20.366,2.256,3.476,0.7847,100755.6
0.769,-0.1289,0.0903,18.598,-2.134,-2.927,0.785,100755.3
0.875,-0.0864,0.0674,19.939,4.146,-1.098,0.8818,100755.69
0.9272,-0.0483,0.0259,14.878,16.341,5.793,0.9289,100755.75
