ax,ay,az,gx,gy,gz,avm,pressure
0.9385,0.0078,-0.3354,-0.122,0.122,0.854,0.9967,100865.94
0.9429,0.0117,-0.3345,-0.244,-1.463,0.305,1.0005,100866.52
0.9404,0.0156,-0.3359,-0.122,-1.037,0.366,0.9988,100866.45
0.9385,0.0112,-0.3335,0.366,0.122,1.037,0.996,100866.52
0.939,0.0117,-0.3379,0.183,-0.976,0.183,0.998,100866.58
0.9409,0.0083,-0.3306,-0.061,-0.061,0.244,0.9973,100866.74
0.9399,0.0088,-0.3296,0.305,-0.122,0.549,0.9961,100866.77
0.936,0.0098,-0.3364,0.427,-0.61,0.427,0.9947,100867.0
0.938,0.0107,-0.3403,0.549,-1.341,0.061,0.9979,100865.74
0.9375,0.0088,-0.3442,0.122,-1.707,0.061,0.9987,100866.59
0.9365,0.0088,-0.3418,-0.122,-0.366,0.427,0.997,100866.64
0.9365,0.0083,-0.3359,-0.244,0.061,0.427,0.995,100865.71
0.938,0.0063,-0.3296,-0.793,1.098,0.793,0.9942,100866.34
0.936,0.0063,-0.3296,-1.098,2.744,1.159,0.9924,100866.96
0.9414,0.0098,-0.3384,-0.366,1.159,0.976,1.0004,100866.79
0.9448,0.0059,-0.3354,0.061,0.732,-0.122,1.0026,100866.9
0.9395,0.0068,-0.332,-0.061,1.524,0.122,0.9964,100866.03
0.939,0.0098,-0.3306,0.488,0.732,-0.122,0.9955,100865.49
0.9434,0.0098,-0.3276,0.549,-0.427,-0.61,0.9987,100865.07
0.9438,0.0142,-0.3301,0.671,-1.037,-0.61,1.0,100865.39
0.9355,0.0229,-0.3384,1.341,-1.22,-1.159,0.9951,100865.6
0.9351,0.022,-0.3335,1.646,0.244,-1.22,0.993,100866.02
0.9473,0.0146,-0.3218,1.646,0.549,-0.854,1.0005,100865.49
0.9395,0.0151,-0.334,2.317,-1.951,-0.793,0.9972,100865.42
0.9365,0.0093,-0.3335,2.378,-2.256,-0.183,0.9942,100866.06
0.9463,0.0083,-0.3281,1.768,-1.098,-0.061,1.0016,100866.62
0.936,0.0073,-0.3384,0.854,-4.878,-0.244,0.9953,100866.42
0.9292,0.0142,-0.3477,0.244,-4.878,-0.061,0.9922,100866.27
0.9458,0.0249,-0.335,-0.122,-4.024,0.671,1.0037,100866.41
0.9375,0.0239,-0.3545,0.366,-8.415,1.829,1.0026,100865.78
0.9429,0.0151,-0.3579,0.488,-4.756,4.207,1.0086,100865.44
0.9399,0.0103,-0.3418,-1.159,-0.671,6.037,1.0002,100866.3
0.916,-0.0005,-0.3691,0.427,-1.098,5.61,0.9876,100867.91
0.9102,-0.0044,-0.3726,1.89,-4.695,1.341,0.9835,100867.02
0.9111,-0.0107,-0.3848,1.89,-4.878,-2.927,0.9891,100867.48
0.9331,-0.0142,-0.3877,0.793,1.463,-0.671,1.0105,100868.05
0.9141,-0.0044,-0.3716,1.159,10.366,2.927,0.9867,100867.54
0.9146,-0.002,-0.3521,0.854,13.537,2.317,0.98,100867.75
0.8921,-0.0078,-0.3687,5.915,8.293,-2.439,0.9653,100867.54
0.9526,0.0044,-0.3438,11.402,3.11,-6.159,1.0128,100867.62
0.9956,0.0176,-0.3354,8.232,4.634,0.244,1.0507,100867.69
0.9448,-0.0049,-0.2998,-0.061,9.634,5.915,0.9913,100867.11
0.939,-0.0029,-0.2886,-0.976,8.171,5.976,0.9823,100867.29
0.9351,0.0151,-0.3096,-1.28,6.341,4.634,0.9851,100867.91
0.9468,0.0054,-0.3022,-3.354,12.866,5.427,0.9939,100866.66
0.9639,-0.0156,-0.2832,-4.878,11.463,5.671,1.0047,100867.2
0.9565,-0.0181,-0.3062,-5.183,5.915,4.695,1.0045,100867.61
0.9624,-0.0142,-0.2812,3.354,37.866,11.89,1.0028,100866.91
0.9482,-0.063,-0.2202,6.951,38.171,15.305,0.9755,100867.15
0.9697,-0.0645,-0.1958,1.951,27.561,10.305,0.9914,100867.69
0.9775,-0.0562,-0.2134,-1.829,15.732,5.61,1.0021,100867.62
0.9849,-0.0459,-0.2134,-0.122,22.622,6.159,1.0088,100867.06
0.98,-0.0698,-0.1343,1.951,20.061,5.488,0.9916,100867.14
0.9775,-0.0518,-0.1958,-0.244,-1.768,0.366,0.9983,100867.55
0.9805,-0.0464,-0.1953,0.61,2.988,1.89,1.0008,100867.63
0.9893,-0.0635,-0.1636,0.854,10.366,4.268,1.0047,100866.72
0.98,-0.0708,-0.1499,1.159,2.195,1.646,0.9939,100866.64
0.9824,-0.0562,-0.189,1.159,-5.549,-1.768,1.002,100866.23
0.9766,-0.0562,-0.1689,1.22,-0.305,-0.61,0.9927,100866.02
0.9741,-0.0645,-0.165,0.732,-1.402,-0.732,0.9901,100865.38
0.9839,-0.0518,-0.1895,-0.61,-2.439,-2.317,1.0033,100864.99
0.9873,-0.0557,-0.1826,-1.341,1.707,-0.732,1.0056,100864.59
0.9839,-0.063,-0.167,-1.89,0.0,-0.61,0.9999,100864.54
0.9775,-0.0508,-0.1816,-1.585,-2.866,-2.012,0.9956,100865.01
0.9746,-0.0425,-0.1768,-2.439,-2.927,-1.89,0.9914,100865.24
0.9878,-0.0107,-0.1792,-8.476,-14.329,-0.122,1.004,100865.62
0.9795,-0.0674,-0.208,-16.951,-29.695,2.317,1.0036,100867.53
0.9741,-0.0601,-0.2134,-5.793,-18.354,-1.463,0.999,100867.62
0.9741,-0.0293,-0.2378,1.098,-12.317,-2.317,1.0032,100866.81
0.9692,-0.0405,-0.2407,2.927,-8.598,-2.805,0.9995,100866.56
0.9712,-0.0615,-0.2266,-0.671,-8.476,-4.329,0.9992,100866.38
0.9727,-0.0327,-0.2344,-5.976,-11.159,-4.451,1.001,100866.48
0.9604,-0.0146,-0.2407,-6.951,-9.878,-1.341,0.9903,100865.95
0.9663,-0.019,-0.249,-4.329,-8.72,-1.28,0.9981,100865.07
0.9834,-0.0317,-0.2637,-2.622,-9.512,-2.256,1.0186,100863.8
0.9365,-0.0444,-0.272,-1.159,-11.524,-2.744,0.9762,100865.0
0.9443,-0.042,-0.2852,-1.098,-11.951,-2.012,0.9873,100866.28
0.958,-0.0254,-0.3149,-1.463,-9.756,-1.768,1.0088,100866.77
0.9526,-0.0186,-0.2939,-1.951,-5.305,-1.037,0.9971,100867.13
0.9531,-0.0142,-0.2944,-3.537,-4.573,0.0,0.9977,100866.78
0.9502,-0.0151,-0.2803,-2.439,-4.39,-0.976,0.9908,100866.54
0.9507,0.001,-0.3003,-1.829,-7.561,-2.195,0.997,100865.88
0.9595,-0.0156,-0.3071,1.037,-6.768,-1.402,1.0076,100865.62
0.9575,-0.0269,-0.292,3.171,-0.549,-0.488,1.0014,100865.95
0.9443,-0.0186,-0.2881,2.439,0.366,-0.244,0.9875,100866.18
0.9463,-0.0083,-0.313,0.793,0.976,0.854,0.9967,100866.45
0.9497,-0.0112,-0.2993,1.159,5.671,2.622,0.9958,100866.55
0.9492,-0.0161,-0.2998,1.159,4.878,2.134,0.9956,100866.49
0.9668,-0.0337,-0.2744,0.122,1.951,1.341,1.0056,100866.31
0.9507,-0.0249,-0.3169,0.915,-5.122,-3.537,1.0024,100866.2
0.9526,0.0054,-0.3232,-0.183,5.549,-2.805,1.006,100865.62
0.9424,-0.0391,-0.2529,2.073,11.159,3.049,0.9765,100865.32
0.957,-0.0151,-0.3125,0.549,3.415,0.793,1.0069,100864.94
0.957,-0.0161,-0.2881,-1.951,12.988,2.744,0.9996,100865.17
0.9619,-0.0225,-0.2402,-1.829,8.841,2.927,0.9917,100865.45
0.9551,-0.0103,-0.2817,0.488,-3.415,0.244,0.9958,100864.68
0.9604,-0.0098,-0.2817,1.768,0.305,0.976,1.001,100864.8
0.96,-0.0259,-0.2559,2.134,2.5,2.439,0.9938,100864.52
0.9653,-0.0234,-0.2583,2.5,-3.598,2.134,0.9996,100864.35
0.9561,-0.0249,-0.2832,2.5,-6.22,2.317,0.9974,100864.43
